date,MINUS_DI
2001-09-26 00:00:00,27.161
2001-09-27 00:00:00,26.389
2001-09-28 00:00:00,25.722
2001-10-01 00:00:00,25.5472
2001-10-02 00:00:00,26.0774
2001-10-03 00:00:00,25.6309
2001-10-04 00:00:00,24.0066
2001-10-05 00:00:00,22.6278
2001-10-08 00:00:00,21.668
2001-10-09 00:00:00,21.038
2001-10-10 00:00:00,20.0683
2001-10-11 00:00:00,19.12
2001-10-12 00:00:00,17.9369
2001-10-15 00:00:00,17.5343
2001-10-16 00:00:00,18.0958
2001-10-17 00:00:00,20.9553
2001-10-18 00:00:00,19.6181
2001-10-19 00:00:00,19.0807
2001-10-22 00:00:00,18.0972
2001-10-23 00:00:00,16.6669
2001-10-24 00:00:00,16.1494
2001-10-25 00:00:00,15.272
2001-10-26 00:00:00,14.7834
2001-10-29 00:00:00,19.1415
2001-10-30 00:00:00,20.9668
2001-10-31 00:00:00,19.9451
2001-11-01 00:00:00,18.4378
2001-11-02 00:00:00,17.7903
2001-11-05 00:00:00,17.1735
2001-11-06 00:00:00,16.2246
2001-11-07 00:00:00,15.5603
2001-11-08 00:00:00,18.3497
2001-11-09 00:00:00,17.7961
2001-11-12 00:00:00,19.6866
2001-11-13 00:00:00,19.0003
2001-11-14 00:00:00,18.2613
2001-11-15 00:00:00,17.6169
2001-11-16 00:00:00,20.996
2001-11-19 00:00:00,19.8056
2001-11-20 00:00:00,19.0745
2001-11-21 00:00:00,19.8128
2001-11-23 00:00:00,19.3947
2001-11-26 00:00:00,17.6322
2001-11-27 00:00:00,16.6804
2001-11-28 00:00:00,16.4487
2001-11-29 00:00:00,17.1915
2001-11-30 00:00:00,16.0915
2001-12-03 00:00:00,15.4782
2001-12-04 00:00:00,14.0018
2001-12-05 00:00:00,12.7115
2001-12-06 00:00:00,11.8655
2001-12-07 00:00:00,12.0966
2001-12-10 00:00:00,11.643
2001-12-11 00:00:00,13.7954
2001-12-12 00:00:00,15.3254
2001-12-13 00:00:00,18.2493
2001-12-14 00:00:00,19.4659
2001-12-17 00:00:00,18.6718
2001-12-18 00:00:00,17.6343
2001-12-19 00:00:00,16.5772
2001-12-20 00:00:00,15.7556
2001-12-21 00:00:00,15.0715
2001-12-24 00:00:00,14.6483
2001-12-26 00:00:00,13.7887
2001-12-27 00:00:00,13.2523
2001-12-28 00:00:00,12.5492
2001-12-31 00:00:00,12.6821
2002-01-02 00:00:00,11.7889
2002-01-03 00:00:00,11.2073
2002-01-04 00:00:00,10.6648
2002-01-07 00:00:00,11.1959
2002-01-08 00:00:00,12.334
2002-01-09 00:00:00,17.1344
2002-01-10 00:00:00,20.9087
2002-01-11 00:00:00,19.6693
2002-01-14 00:00:00,19.1866
2002-01-15 00:00:00,18.6004
2002-01-16 00:00:00,21.0143
2002-01-17 00:00:00,19.0639
2002-01-18 00:00:00,18.4745
2002-01-22 00:00:00,18.6644
2002-01-23 00:00:00,17.3542
2002-01-24 00:00:00,16.831
2002-01-25 00:00:00,17.392
2002-01-28 00:00:00,16.6634
2002-01-29 00:00:00,16.0741
2002-01-30 00:00:00,15.0968
2002-01-31 00:00:00,14.5985
2002-02-01 00:00:00,14.1231
2002-02-04 00:00:00,13.1625
2002-02-05 00:00:00,12.5499
2002-02-06 00:00:00,16.0168
2002-02-07 00:00:00,15.41
2002-02-08 00:00:00,17.9004
2002-02-11 00:00:00,16.8201
2002-02-12 00:00:00,16.3342
2002-02-13 00:00:00,15.8522
2002-02-14 00:00:00,16.5338
2002-02-15 00:00:00,18.2513
2002-02-19 00:00:00,23.696
2002-02-20 00:00:00,23.343
2002-02-21 00:00:00,25.7728
2002-02-22 00:00:00,24.0187
2002-02-25 00:00:00,21.5106
2002-02-26 00:00:00,20.4441
2002-02-27 00:00:00,27.0378
2002-02-28 00:00:00,25.6844
2002-03-01 00:00:00,23.8595
2002-03-04 00:00:00,22.182
2002-03-05 00:00:00,21.2903
2002-03-06 00:00:00,21.9497
2002-03-07 00:00:00,21.1542
2002-03-08 00:00:00,20.4831
2002-03-11 00:00:00,20.4304
2002-03-12 00:00:00,19.6274
2002-03-13 00:00:00,19.0526
2002-03-14 00:00:00,19.6195
2002-03-15 00:00:00,19.013
2002-03-18 00:00:00,18.3975
2002-03-19 00:00:00,17.5769
2002-03-20 00:00:00,17.0642
2002-03-21 00:00:00,21.3158
2002-03-22 00:00:00,20.6493
2002-03-25 00:00:00,22.7327
2002-03-26 00:00:00,23.1751
2002-03-27 00:00:00,22.6615
2002-03-28 00:00:00,22.1889
2002-04-01 00:00:00,20.6557
2002-04-02 00:00:00,20.0498
2002-04-03 00:00:00,20.5076
2002-04-04 00:00:00,19.1188
2002-04-05 00:00:00,18.0997
2002-04-08 00:00:00,18.817
2002-04-09 00:00:00,17.9019
2002-04-10 00:00:00,17.0721
2002-04-11 00:00:00,16.6066
2002-04-12 00:00:00,17.0206
2002-04-15 00:00:00,16.7036
2002-04-16 00:00:00,15.8177
2002-04-17 00:00:00,15.1495
2002-04-18 00:00:00,16.8006
2002-04-19 00:00:00,16.295
2002-04-22 00:00:00,19.4306
2002-04-23 00:00:00,19.4632
2002-04-24 00:00:00,20.8462
2002-04-25 00:00:00,20.6534
2002-04-26 00:00:00,22.1
2002-04-29 00:00:00,20.8516
2002-04-30 00:00:00,20.1333
2002-05-01 00:00:00,21.241
2002-05-02 00:00:00,20.374
2002-05-03 00:00:00,20.6535
2002-05-06 00:00:00,24.8443
2002-05-07 00:00:00,25.5084
2002-05-08 00:00:00,22.7618
2002-05-09 00:00:00,22.0663
2002-05-10 00:00:00,24.8557
2002-05-13 00:00:00,23.5775
2002-05-14 00:00:00,21.5273
2002-05-15 00:00:00,20.3094
2002-05-16 00:00:00,20.0465
2002-05-17 00:00:00,18.875
2002-05-20 00:00:00,18.8206
2002-05-21 00:00:00,22.9393
2002-05-22 00:00:00,22.1417
2002-05-23 00:00:00,20.8675
2002-05-24 00:00:00,20.1633
2002-05-28 00:00:00,22.0115
2002-05-29 00:00:00,20.9355
2002-05-30 00:00:00,20.0298
2002-05-31 00:00:00,20.2077
2002-06-03 00:00:00,22.8364
2002-06-04 00:00:00,23.8645
2002-06-05 00:00:00,23.1987
2002-06-06 00:00:00,21.7885
2002-06-07 00:00:00,26.0351
2002-06-10 00:00:00,25.3619
2002-06-11 00:00:00,28.4283
2002-06-12 00:00:00,29.6586
2002-06-13 00:00:00,31.4764
2002-06-14 00:00:00,34.2154
2002-06-17 00:00:00,32.8985
2002-06-18 00:00:00,31.8881
2002-06-19 00:00:00,41.1806
2002-06-20 00:00:00,39.9004
2002-06-21 00:00:00,38.8753
2002-06-24 00:00:00,37.0001
2002-06-25 00:00:00,35.5625
2002-06-26 00:00:00,37.5013
2002-06-27 00:00:00,35.9936
2002-06-28 00:00:00,34.5818
2002-07-01 00:00:00,33.1945
2002-07-02 00:00:00,33.7472
2002-07-03 00:00:00,32.1713
2002-07-05 00:00:00,30.2526
2002-07-08 00:00:00,28.8118
2002-07-09 00:00:00,28.716
2002-07-10 00:00:00,28.444
2002-07-11 00:00:00,27.8896
2002-07-12 00:00:00,25.8396
2002-07-15 00:00:00,25.7815
2002-07-16 00:00:00,24.6275
2002-07-17 00:00:00,32.2757
2002-07-18 00:00:00,32.9607
2002-07-19 00:00:00,33.0013
2002-07-22 00:00:00,32.1208
2002-07-23 00:00:00,31.8789
2002-07-24 00:00:00,31.3177
2002-07-25 00:00:00,30.6969
2002-07-26 00:00:00,30.63
2002-07-29 00:00:00,29.5077
2002-07-30 00:00:00,28.1506
2002-07-31 00:00:00,27.4102
2002-08-01 00:00:00,27.3138
2002-08-02 00:00:00,28.7181
2002-08-05 00:00:00,29.0818
2002-08-06 00:00:00,27.2435
2002-08-07 00:00:00,25.8429
2002-08-08 00:00:00,25.0249
2002-08-09 00:00:00,24.4012
2002-08-12 00:00:00,24.2887
2002-08-13 00:00:00,23.3978
2002-08-14 00:00:00,22.3393
2002-08-15 00:00:00,21.408
2002-08-16 00:00:00,20.4152
2002-08-19 00:00:00,19.7907
2002-08-20 00:00:00,20.2559
2002-08-21 00:00:00,19.3124
2002-08-22 00:00:00,18.6302
2002-08-23 00:00:00,19.3205
2002-08-26 00:00:00,20.1603
2002-08-27 00:00:00,21.6228
2002-08-28 00:00:00,21.3661
2002-08-29 00:00:00,21.4801
2002-08-30 00:00:00,20.7155
2002-09-03 00:00:00,23.1762
