date,ULTOSC
2001-03-01 00:00:00,57.2988
2001-03-02 00:00:00,58.4349
2001-03-05 00:00:00,61.2562
2001-03-06 00:00:00,61.7069
2001-03-07 00:00:00,59.669
2001-03-08 00:00:00,57.7211
2001-03-09 00:00:00,60.3598
2001-03-12 00:00:00,51.4511
2001-03-13 00:00:00,58.3297
2001-03-14 00:00:00,62.2296
2001-03-15 00:00:00,53.7205
2001-03-16 00:00:00,52.9559
2001-03-19 00:00:00,56.1417
2001-03-20 00:00:00,53.1052
2001-03-21 00:00:00,55.1035
2001-03-22 00:00:00,56.6733
2001-03-23 00:00:00,53.527
2001-03-26 00:00:00,52.9502
2001-03-27 00:00:00,55.6256
2001-03-28 00:00:00,52.9772
2001-03-29 00:00:00,56.425
2001-03-30 00:00:00,57.6536
2001-04-02 00:00:00,50.8583
2001-04-03 00:00:00,43.3001
2001-04-04 00:00:00,47.3389
2001-04-05 00:00:00,44.5918
2001-04-06 00:00:00,44.6275
2001-04-09 00:00:00,43.9159
2001-04-10 00:00:00,46.5515
2001-04-11 00:00:00,45.8693
2001-04-12 00:00:00,50.1366
2001-04-16 00:00:00,49.5988
2001-04-17 00:00:00,48.9251
2001-04-18 00:00:00,51.5361
2001-04-19 00:00:00,59.1131
2001-04-20 00:00:00,57.534
2001-04-23 00:00:00,58.0258
2001-04-24 00:00:00,56.7519
2001-04-25 00:00:00,60.8891
2001-04-26 00:00:00,57.8109
2001-04-27 00:00:00,60.5264
2001-04-30 00:00:00,49.4327
2001-05-01 00:00:00,50.3053
2001-05-02 00:00:00,54.6618
2001-05-03 00:00:00,49.7743
2001-05-04 00:00:00,53.2323
2001-05-07 00:00:00,54.7506
2001-05-08 00:00:00,49.5431
2001-05-09 00:00:00,49.2218
2001-05-10 00:00:00,43.3162
2001-05-11 00:00:00,39.3411
2001-05-14 00:00:00,44.0661
2001-05-15 00:00:00,29.5539
2001-05-16 00:00:00,37.0854
2001-05-17 00:00:00,34.3896
2001-05-18 00:00:00,36.5362
2001-05-21 00:00:00,41.0424
2001-05-22 00:00:00,40.0857
2001-05-23 00:00:00,39.7169
2001-05-24 00:00:00,48.4058
2001-05-25 00:00:00,43.4136
2001-05-29 00:00:00,42.525
2001-05-30 00:00:00,36.4707
2001-05-31 00:00:00,37.6703
2001-06-01 00:00:00,43.8341
2001-06-04 00:00:00,42.9804
2001-06-05 00:00:00,44.9459
2001-06-06 00:00:00,46.0878
2001-06-07 00:00:00,54.5905
2001-06-08 00:00:00,62.6886
2001-06-11 00:00:00,54.1015
2001-06-12 00:00:00,52.3473
2001-06-13 00:00:00,49.0819
2001-06-14 00:00:00,44.2029
2001-06-15 00:00:00,47.8368
2001-06-18 00:00:00,43.2394
2001-06-19 00:00:00,39.0687
2001-06-20 00:00:00,50.2864
2001-06-21 00:00:00,52.7894
2001-06-22 00:00:00,54.6204
2001-06-25 00:00:00,62.1088
2001-06-26 00:00:00,61.8347
2001-06-27 00:00:00,61.6213
2001-06-28 00:00:00,65.4847
2001-06-29 00:00:00,55.2681
2001-07-02 00:00:00,54.6409
2001-07-03 00:00:00,56.3772
2001-07-05 00:00:00,48.7646
2001-07-06 00:00:00,42.9938
2001-07-09 00:00:00,45.6489
2001-07-10 00:00:00,40.2828
2001-07-11 00:00:00,50.5475
2001-07-12 00:00:00,53.6848
2001-07-13 00:00:00,56.8424
2001-07-16 00:00:00,52.7906
2001-07-17 00:00:00,60.7359
2001-07-18 00:00:00,46.5092
2001-07-19 00:00:00,46.1025
2001-07-20 00:00:00,45.1997
2001-07-23 00:00:00,38.5333
2001-07-24 00:00:00,35.3503
2001-07-25 00:00:00,37.3635
2001-07-26 00:00:00,33.3638
2001-07-27 00:00:00,40.8871
2001-07-30 00:00:00,46.4878
2001-07-31 00:00:00,41.8536
2001-08-01 00:00:00,42.0953
2001-08-02 00:00:00,46.9922
2001-08-03 00:00:00,49.6004
2001-08-06 00:00:00,42.8322
2001-08-07 00:00:00,43.6987
2001-08-08 00:00:00,42.5073
2001-08-09 00:00:00,45.1941
2001-08-10 00:00:00,49.2912
2001-08-13 00:00:00,46.5426
2001-08-14 00:00:00,42.2107
2001-08-15 00:00:00,42.1699
2001-08-16 00:00:00,46.8571
2001-08-17 00:00:00,45.8811
2001-08-20 00:00:00,46.0497
2001-08-21 00:00:00,45.2626
2001-08-22 00:00:00,48.0558
2001-08-23 00:00:00,49.3522
2001-08-24 00:00:00,57.7454
2001-08-27 00:00:00,57.7982
2001-08-28 00:00:00,56.1103
2001-08-29 00:00:00,47.3336
2001-08-30 00:00:00,48.8086
2001-08-31 00:00:00,51.5377
2001-09-04 00:00:00,49.1312
2001-09-05 00:00:00,45.6058
2001-09-06 00:00:00,36.5813
2001-09-07 00:00:00,36.359
2001-09-10 00:00:00,41.9603
2001-09-17 00:00:00,46.8318
2001-09-18 00:00:00,36.4221
2001-09-19 00:00:00,46.4932
2001-09-20 00:00:00,40.8226
2001-09-21 00:00:00,46.5754
2001-09-24 00:00:00,51.0233
2001-09-25 00:00:00,47.9116
2001-09-26 00:00:00,42.7963
2001-09-27 00:00:00,46.5371
2001-09-28 00:00:00,40.6793
2001-10-01 00:00:00,44.1931
2001-10-02 00:00:00,38.5952
2001-10-03 00:00:00,35.2267
2001-10-04 00:00:00,42.3628
2001-10-05 00:00:00,51.2684
2001-10-08 00:00:00,55.0137
2001-10-09 00:00:00,56.0228
2001-10-10 00:00:00,62.5689
2001-10-11 00:00:00,70.3657
2001-10-12 00:00:00,75.2955
2001-10-15 00:00:00,74.9674
2001-10-16 00:00:00,72.823
2001-10-17 00:00:00,58.9563
2001-10-18 00:00:00,62.3827
2001-10-19 00:00:00,61.1798
2001-10-22 00:00:00,63.1557
2001-10-23 00:00:00,52.4243
2001-10-24 00:00:00,58.8614
2001-10-25 00:00:00,61.7545
2001-10-26 00:00:00,64.8872
2001-10-29 00:00:00,56.022
2001-10-30 00:00:00,54.8254
2001-10-31 00:00:00,46.7821
2001-11-01 00:00:00,55.2099
2001-11-02 00:00:00,52.4015
2001-11-05 00:00:00,50.0737
2001-11-06 00:00:00,59.07
2001-11-07 00:00:00,61.3486
2001-11-08 00:00:00,54.466
2001-11-09 00:00:00,54.8161
2001-11-12 00:00:00,53.0882
2001-11-13 00:00:00,55.054
2001-11-14 00:00:00,53.2786
2001-11-15 00:00:00,47.8576
2001-11-16 00:00:00,50.8126
2001-11-19 00:00:00,61.1133
2001-11-20 00:00:00,59.6344
2001-11-21 00:00:00,59.0564
2001-11-23 00:00:00,57.0435
2001-11-26 00:00:00,63.1345
2001-11-27 00:00:00,62.8024
2001-11-28 00:00:00,59.5632
2001-11-29 00:00:00,56.2459
2001-11-30 00:00:00,64.6236
2001-12-03 00:00:00,64.2565
2001-12-04 00:00:00,68.277
2001-12-05 00:00:00,68.7933
2001-12-06 00:00:00,66.4279
2001-12-07 00:00:00,69.9879
2001-12-10 00:00:00,68.2628
2001-12-11 00:00:00,61.7133
2001-12-12 00:00:00,59.6567
2001-12-13 00:00:00,54.1108
2001-12-14 00:00:00,45.8263
2001-12-17 00:00:00,46.5905
2001-12-18 00:00:00,48.7668
2001-12-19 00:00:00,55.608
2001-12-20 00:00:00,54.0184
2001-12-21 00:00:00,53.3897
2001-12-24 00:00:00,54.2227
2001-12-26 00:00:00,51.4817
2001-12-27 00:00:00,53.8899
2001-12-28 00:00:00,50.9802
2001-12-31 00:00:00,41.8256
2002-01-02 00:00:00,55.2311
2002-01-03 00:00:00,59.7062
2002-01-04 00:00:00,60.1747
2002-01-07 00:00:00,56.8934
2002-01-08 00:00:00,53.8212
2002-01-09 00:00:00,49.1166
2002-01-10 00:00:00,53.1095
2002-01-11 00:00:00,47.262
2002-01-14 00:00:00,44.818
2002-01-15 00:00:00,44.6228
2002-01-16 00:00:00,45.1433
2002-01-17 00:00:00,53.0546
2002-01-18 00:00:00,55.715
2002-01-22 00:00:00,51.6783
2002-01-23 00:00:00,59.4902
2002-01-24 00:00:00,58.8668
2002-01-25 00:00:00,58.5344
2002-01-28 00:00:00,64.1729
2002-01-29 00:00:00,58.079
2002-01-30 00:00:00,66.0759
2002-01-31 00:00:00,71.5192
2002-02-01 00:00:00,64.1639
2002-02-04 00:00:00,68.781
2002-02-05 00:00:00,64.8696
2002-02-06 00:00:00,58.8809
2002-02-07 00:00:00,54.2159
2002-02-08 00:00:00,50.58
2002-02-11 00:00:00,54.8594
2002-02-12 00:00:00,54.6068
2002-02-13 00:00:00,51.5925
2002-02-14 00:00:00,49.5558
2002-02-15 00:00:00,46.9507
2002-02-19 00:00:00,44.4842
2002-02-20 00:00:00,47.0035
