date,SMA
2001-03-28 00:00:00,20.596
2001-03-29 00:00:00,20.785
2001-03-30 00:00:00,20.926
2001-04-02 00:00:00,20.987
2001-04-03 00:00:00,20.924
2001-04-04 00:00:00,20.8365
2001-04-05 00:00:00,20.8395
2001-04-06 00:00:00,20.8565
2001-04-09 00:00:00,20.9525
2001-04-10 00:00:00,21.0765
2001-04-11 00:00:00,21.1445
2001-04-12 00:00:00,21.281
2001-04-16 00:00:00,21.372
2001-04-17 00:00:00,21.364
2001-04-18 00:00:00,21.519
2001-04-19 00:00:00,21.799
2001-04-20 00:00:00,21.97
2001-04-23 00:00:00,22.0325
2001-04-24 00:00:00,22.145
2001-04-25 00:00:00,22.2375
2001-04-26 00:00:00,22.3635
2001-04-27 00:00:00,22.547
2001-04-30 00:00:00,22.718
2001-05-01 00:00:00,22.935
2001-05-02 00:00:00,23.2525
2001-05-03 00:00:00,23.5255
2001-05-04 00:00:00,23.7695
2001-05-07 00:00:00,23.988
2001-05-08 00:00:00,24.1895
2001-05-09 00:00:00,24.2865
2001-05-10 00:00:00,24.3465
2001-05-11 00:00:00,24.368
2001-05-14 00:00:00,24.4605
2001-05-15 00:00:00,24.5995
2001-05-16 00:00:00,24.665
2001-05-17 00:00:00,24.5565
2001-05-18 00:00:00,24.481
2001-05-21 00:00:00,24.4465
2001-05-22 00:00:00,24.42
2001-05-23 00:00:00,24.3455
2001-05-24 00:00:00,24.271
2001-05-25 00:00:00,24.099
2001-05-29 00:00:00,23.898
2001-05-30 00:00:00,23.5905
2001-05-31 00:00:00,23.2585
2001-06-01 00:00:00,23.055
2001-06-04 00:00:00,22.8005
2001-06-05 00:00:00,22.5995
2001-06-06 00:00:00,22.4075
2001-06-07 00:00:00,22.2915
2001-06-08 00:00:00,22.2075
2001-06-11 00:00:00,22.067
2001-06-12 00:00:00,21.918
2001-06-13 00:00:00,21.7825
2001-06-14 00:00:00,21.5715
2001-06-15 00:00:00,21.416
2001-06-18 00:00:00,21.256
2001-06-19 00:00:00,21.0875
2001-06-20 00:00:00,20.996
2001-06-21 00:00:00,20.959
2001-06-22 00:00:00,20.912
2001-06-25 00:00:00,20.9735
2001-06-26 00:00:00,21.0875
2001-06-27 00:00:00,21.2655
2001-06-28 00:00:00,21.445
2001-06-29 00:00:00,21.563
2001-07-02 00:00:00,21.725
2001-07-03 00:00:00,21.87
2001-07-05 00:00:00,21.993
2001-07-06 00:00:00,22.0115
2001-07-09 00:00:00,22.0805
2001-07-10 00:00:00,22.1355
2001-07-11 00:00:00,22.247
2001-07-12 00:00:00,22.4415
2001-07-13 00:00:00,22.69
2001-07-16 00:00:00,22.866
2001-07-17 00:00:00,23.1045
2001-07-18 00:00:00,23.1345
2001-07-19 00:00:00,23.049
2001-07-20 00:00:00,22.9235
2001-07-23 00:00:00,22.7875
2001-07-24 00:00:00,22.5425
2001-07-25 00:00:00,22.2785
2001-07-26 00:00:00,22.041
2001-07-27 00:00:00,21.812
2001-07-30 00:00:00,21.596
2001-07-31 00:00:00,21.3405
2001-08-01 00:00:00,21.1015
2001-08-02 00:00:00,20.933
2001-08-03 00:00:00,20.8065
2001-08-06 00:00:00,20.628
2001-08-07 00:00:00,20.5335
2001-08-08 00:00:00,20.3515
2001-08-09 00:00:00,20.086
2001-08-10 00:00:00,19.7945
2001-08-13 00:00:00,19.551
