date,SlowK,SlowD
2019-01-03 00:00:00,59.0054,73.7177
2019-01-02 00:00:00,85.5754,75.5072
2018-12-31 00:00:00,76.5722,59.5891
2018-12-28 00:00:00,64.3739,40.4807
2018-12-27 00:00:00,37.821,21.0366
2018-12-26 00:00:00,19.2471,11.7999
2018-12-24 00:00:00,6.0417,11.873
2018-12-21 00:00:00,10.1107,16.4805
2018-12-20 00:00:00,19.4664,20.8334
2018-12-19 00:00:00,19.8643,25.8829
2018-12-18 00:00:00,23.1694,35.0327
2018-12-17 00:00:00,34.6149,43.585
2018-12-14 00:00:00,47.3137,43.9595
2018-12-13 00:00:00,48.8266,34.6286
2018-12-12 00:00:00,35.7381,24.9942
2018-12-11 00:00:00,19.3211,18.4525
2018-12-10 00:00:00,19.9235,28.2725
2018-12-07 00:00:00,16.1129,41.9732
2018-12-06 00:00:00,48.7811,63.2219
2018-12-04 00:00:00,61.0255,73.3235
2018-12-03 00:00:00,79.859,75.9165
2018-11-30 00:00:00,79.0858,66.3703
2018-11-29 00:00:00,68.8046,46.4157
2018-11-28 00:00:00,51.2205,26.6683
2018-11-27 00:00:00,19.2218,11.2516
2018-11-26 00:00:00,9.5626,7.2019
2018-11-23 00:00:00,4.9704,11.7131
2018-11-21 00:00:00,7.0725,19.948
2018-11-20 00:00:00,23.0963,27.0888
2018-11-19 00:00:00,29.6752,23.2861
2018-11-16 00:00:00,28.495,14.5167
2018-11-15 00:00:00,11.6882,11.5988
2018-11-14 00:00:00,3.3669,21.2265
2018-11-13 00:00:00,19.7413,38.7802
2018-11-12 00:00:00,40.5711,47.5902
2018-11-09 00:00:00,56.028,43.6205
2018-11-08 00:00:00,46.1715,30.433
2018-11-07 00:00:00,28.662,28.9743
2018-11-06 00:00:00,16.4656,41.0611
2018-11-05 00:00:00,41.7954,60.2842
2018-11-02 00:00:00,64.9223,63.8155
2018-11-01 00:00:00,74.1349,53.847
2018-10-31 00:00:00,52.3893,42.4229
2018-10-30 00:00:00,35.0169,36.5481
2018-10-29 00:00:00,39.8624,43.4105
2018-10-26 00:00:00,34.765,50.831
2018-10-25 00:00:00,55.6042,64.9009
2018-10-24 00:00:00,62.1238,64.9478
2018-10-23 00:00:00,76.9746,63.8536
2018-10-22 00:00:00,55.745,58.5759
2018-10-19 00:00:00,58.8412,60.7617
2018-10-18 00:00:00,61.1416,59.9548
2018-10-17 00:00:00,62.3023,52.0671
2018-10-16 00:00:00,56.4205,40.258
2018-10-15 00:00:00,37.4785,28.7182
2018-10-12 00:00:00,26.8749,25.0108
2018-10-11 00:00:00,21.8012,27.8245
2018-10-10 00:00:00,26.3561,31.4125
2018-10-09 00:00:00,35.3162,40.0375
2018-10-08 00:00:00,32.5651,52.8078
2018-10-05 00:00:00,52.2313,70.4692
2018-10-04 00:00:00,73.6269,82.3488
2018-10-03 00:00:00,85.5493,86.1903
2018-10-02 00:00:00,87.8703,83.3301
2018-10-01 00:00:00,85.1512,79.5582
2018-09-28 00:00:00,76.9687,76.0085
2018-09-27 00:00:00,76.5547,72.6995
2018-09-26 00:00:00,74.502,63.9025
2018-09-25 00:00:00,67.0418,49.6643
2018-09-24 00:00:00,50.1636,35.5933
2018-09-21 00:00:00,31.7875,23.8381
2018-09-20 00:00:00,24.8287,22.4874
2018-09-19 00:00:00,14.898,31.6448
2018-09-18 00:00:00,27.7354,47.5662
2018-09-17 00:00:00,52.301,58.5276
2018-09-14 00:00:00,62.6622,53.5694
2018-09-13 00:00:00,60.6195,41.1914
2018-09-12 00:00:00,37.4265,25.6717
2018-09-11 00:00:00,25.5283,24.3962
2018-09-10 00:00:00,14.0604,36.5782
2018-09-07 00:00:00,33.5999,60.2057
2018-09-06 00:00:00,62.0742,77.6232
2018-09-05 00:00:00,84.943,85.7998
2018-09-04 00:00:00,85.8522,86.0591
2018-08-31 00:00:00,86.604,86.9305
2018-08-30 00:00:00,85.7211,81.9049
2018-08-29 00:00:00,88.4665,71.7561
2018-08-28 00:00:00,71.5273,56.5543
2018-08-27 00:00:00,55.2745,49.0431
2018-08-24 00:00:00,42.8611,49.975
2018-08-23 00:00:00,48.9936,60.5955
2018-08-22 00:00:00,58.0702,72.6458
2018-08-21 00:00:00,74.7225,83.6082
2018-08-20 00:00:00,85.1447,87.3445
2018-08-17 00:00:00,90.9575,84.7757
2018-08-16 00:00:00,85.9314,77.3641
2018-08-15 00:00:00,77.4383,71.803
2018-08-14 00:00:00,68.7224,69.9373
2018-08-13 00:00:00,69.2482,73.5513
2018-08-10 00:00:00,71.8413,78.7908
2018-08-09 00:00:00,79.5644,85.4744
2018-08-08 00:00:00,84.9665,91.1925
2018-08-07 00:00:00,91.8923,94.9827
2018-08-06 00:00:00,96.7187,87.7443
2018-08-03 00:00:00,96.3371,69.7102
2018-08-02 00:00:00,70.177,43.3852
2018-08-01 00:00:00,42.6165,31.8856
2018-07-31 00:00:00,17.362,39.2664
2018-07-30 00:00:00,35.6784,61.9224
2018-07-27 00:00:00,64.7589,78.3933
2018-07-26 00:00:00,85.3298,81.3368
2018-07-25 00:00:00,85.0912,76.7323
2018-07-24 00:00:00,73.5894,68.0787
2018-07-23 00:00:00,71.5163,64.5105
2018-07-20 00:00:00,59.1304,60.2772
2018-07-19 00:00:00,62.8847,66.0793
2018-07-18 00:00:00,58.8164,72.5955
2018-07-17 00:00:00,76.5366,78.907
2018-07-16 00:00:00,82.4334,79.3163
2018-07-13 00:00:00,77.7509,78.2869
2018-07-12 00:00:00,77.7646,83.2819
2018-07-11 00:00:00,79.3452,83.9856
2018-07-10 00:00:00,92.7358,75.4311
2018-07-09 00:00:00,79.8759,63.0662
2018-07-06 00:00:00,53.6816,56.9286
2018-07-05 00:00:00,55.6411,65.3873
2018-07-03 00:00:00,61.463,67.3634
2018-07-02 00:00:00,79.0579,65.3639
2018-06-29 00:00:00,61.5693,51.5077
2018-06-28 00:00:00,55.4647,41.3102
2018-06-27 00:00:00,37.4891,31.0808
2018-06-26 00:00:00,30.9769,28.9171
2018-06-25 00:00:00,24.7765,28.7326
2018-06-22 00:00:00,30.9978,30.2992
2018-06-21 00:00:00,30.4236,27.0133
2018-06-20 00:00:00,29.4761,24.9594
2018-06-19 00:00:00,21.1403,22.5414
2018-06-18 00:00:00,24.2619,27.8026
2018-06-15 00:00:00,22.2221,32.0052
2018-06-14 00:00:00,36.9238,39.396
2018-06-13 00:00:00,36.8698,45.427
2018-06-12 00:00:00,44.3943,58.7853
2018-06-11 00:00:00,55.0169,75.0084
2018-06-08 00:00:00,76.9448,86.5387
2018-06-07 00:00:00,93.0636,90.8456
2018-06-06 00:00:00,89.6077,81.8768
2018-06-05 00:00:00,89.8657,70.3457
2018-06-04 00:00:00,66.1572,53.7838
2018-06-01 00:00:00,55.0141,50.8688
2018-05-31 00:00:00,40.1802,54.2639
2018-05-30 00:00:00,57.4122,64.7214
2018-05-29 00:00:00,65.1992,65.3217
2018-05-25 00:00:00,71.5529,62.502
2018-05-24 00:00:00,59.2131,52.3687
2018-05-23 00:00:00,56.7398,46.641
2018-05-22 00:00:00,41.1531,41.4902
2018-05-21 00:00:00,42.03,41.3254
2018-05-18 00:00:00,41.2875,44.0666
2018-05-17 00:00:00,40.6586,48.723
2018-05-16 00:00:00,50.2538,61.5744
2018-05-15 00:00:00,55.2567,74.6458
2018-05-14 00:00:00,79.2127,87.7016
2018-05-11 00:00:00,89.4681,91.8275
2018-05-10 00:00:00,94.4239,92.5871
2018-05-09 00:00:00,91.5905,92.4343
2018-05-08 00:00:00,91.7469,93.7053
2018-05-07 00:00:00,93.9657,95.0027
2018-05-04 00:00:00,95.4033,92.7669
2018-05-03 00:00:00,95.6391,82.6919
2018-05-02 00:00:00,87.2582,64.8907
2018-05-01 00:00:00,65.1784,44.0291
2018-04-30 00:00:00,42.2354,28.6279
2018-04-27 00:00:00,24.6735,18.4013
2018-04-26 00:00:00,18.9749,12.3618
2018-04-25 00:00:00,11.5555,7.3839
2018-04-24 00:00:00,6.5551,13.0634
2018-04-23 00:00:00,4.0412,30.2128
2018-04-20 00:00:00,28.594,58.1813
2018-04-19 00:00:00,58.0033,77.9744
2018-04-18 00:00:00,87.9465,87.6285
2018-04-17 00:00:00,87.9733,84.885
2018-04-16 00:00:00,86.9659,83.0384
2018-04-13 00:00:00,79.716,78.023
2018-04-12 00:00:00,82.4334,72.063
2018-04-11 00:00:00,71.9196,64.7204
2018-04-10 00:00:00,61.8361,65.2027
2018-04-09 00:00:00,60.4054,68.6733
2018-04-06 00:00:00,73.3666,65.4373
2018-04-05 00:00:00,72.248,50.4499
2018-04-04 00:00:00,50.6973,33.433
2018-04-03 00:00:00,28.4043,25.0005
