date,HT_DCPHASE
2001-04-02 00:00:00,150.6611
2001-04-03 00:00:00,174.1094
2001-04-04 00:00:00,196.3524
2001-04-05 00:00:00,223.3699
2001-04-06 00:00:00,240.9353
2001-04-09 00:00:00,269.0172
2001-04-10 00:00:00,290.448
2001-04-11 00:00:00,-44.7074
2001-04-12 00:00:00,-11.4953
2001-04-16 00:00:00,24.9652
2001-04-17 00:00:00,50.6019
2001-04-18 00:00:00,84.4
2001-04-19 00:00:00,107.8405
2001-04-20 00:00:00,127.191
2001-04-23 00:00:00,143.5323
2001-04-24 00:00:00,166.7022
2001-04-25 00:00:00,176.9153
2001-04-26 00:00:00,181.804
2001-04-27 00:00:00,185.3638
2001-04-30 00:00:00,186.7983
2001-05-01 00:00:00,188.0603
2001-05-02 00:00:00,189.0389
2001-05-03 00:00:00,191.479
2001-05-04 00:00:00,193.7128
2001-05-07 00:00:00,196.7625
2001-05-08 00:00:00,200.642
2001-05-09 00:00:00,207.4121
2001-05-10 00:00:00,213.3336
2001-05-11 00:00:00,219.6548
2001-05-14 00:00:00,225.4419
2001-05-15 00:00:00,231.2499
2001-05-16 00:00:00,240.6158
2001-05-17 00:00:00,245.7247
2001-05-18 00:00:00,262.1083
2001-05-21 00:00:00,275.0102
2001-05-22 00:00:00,298.8539
2001-05-23 00:00:00,-30.1461
2001-05-24 00:00:00,-8.8583
2001-05-25 00:00:00,0.5663
2001-05-29 00:00:00,15.6028
2001-05-30 00:00:00,18.6212
2001-05-31 00:00:00,17.4201
2001-06-01 00:00:00,0.0758
2001-06-04 00:00:00,-11.2208
2001-06-05 00:00:00,-22.4251
2001-06-06 00:00:00,-19.2538
2001-06-07 00:00:00,-10.4065
2001-06-08 00:00:00,1.8739
2001-06-11 00:00:00,12.9847
2001-06-12 00:00:00,23.273
2001-06-13 00:00:00,36.8415
2001-06-14 00:00:00,43.4069
2001-06-15 00:00:00,49.235
2001-06-18 00:00:00,53.3516
2001-06-19 00:00:00,53.3052
2001-06-20 00:00:00,50.3094
2001-06-21 00:00:00,50.2829
2001-06-22 00:00:00,64.956
2001-06-25 00:00:00,95.5378
2001-06-26 00:00:00,114.6089
2001-06-27 00:00:00,128.9009
2001-06-28 00:00:00,142.1224
2001-06-29 00:00:00,154.8393
2001-07-02 00:00:00,161.6139
2001-07-03 00:00:00,173.2131
2001-07-05 00:00:00,185.776
2001-07-06 00:00:00,198.7299
2001-07-09 00:00:00,211.5688
2001-07-10 00:00:00,226.4679
2001-07-11 00:00:00,234.2061
2001-07-12 00:00:00,246.1827
2001-07-13 00:00:00,257.3984
2001-07-16 00:00:00,269.4216
2001-07-17 00:00:00,264.2581
2001-07-18 00:00:00,276.1162
2001-07-19 00:00:00,296.8287
2001-07-20 00:00:00,306.5787
2001-07-23 00:00:00,308.7983
2001-07-24 00:00:00,310.4057
2001-07-25 00:00:00,314.2767
2001-07-26 00:00:00,-40.7285
2001-07-27 00:00:00,-33.6131
2001-07-30 00:00:00,-25.8663
2001-07-31 00:00:00,-17.7266
2001-08-01 00:00:00,-6.8261
2001-08-02 00:00:00,10.3124
2001-08-03 00:00:00,25.0248
2001-08-06 00:00:00,39.3394
2001-08-07 00:00:00,51.8087
2001-08-08 00:00:00,62.3444
2001-08-09 00:00:00,72.2793
2001-08-10 00:00:00,80.7815
