date,TEMA
2001-03-30 00:00:00,22.3949
2001-04-02 00:00:00,22.3208
2001-04-03 00:00:00,21.8997
2001-04-04 00:00:00,21.3545
2001-04-05 00:00:00,21.2582
2001-04-06 00:00:00,21.1035
2001-04-09 00:00:00,20.9614
2001-04-10 00:00:00,21.2328
2001-04-11 00:00:00,21.3911
2001-04-12 00:00:00,21.6789
2001-04-16 00:00:00,21.6567
2001-04-17 00:00:00,21.3647
2001-04-18 00:00:00,21.7427
2001-04-19 00:00:00,22.8092
2001-04-20 00:00:00,23.4992
2001-04-23 00:00:00,23.8483
2001-04-24 00:00:00,24.0641
2001-04-25 00:00:00,24.4059
2001-04-26 00:00:00,24.6637
2001-04-27 00:00:00,25.2512
2001-04-30 00:00:00,25.5314
2001-05-01 00:00:00,25.8571
2001-05-02 00:00:00,26.2766
2001-05-03 00:00:00,26.1778
2001-05-04 00:00:00,26.2829
2001-05-07 00:00:00,26.1462
2001-05-08 00:00:00,25.9164
2001-05-09 00:00:00,25.5606
2001-05-10 00:00:00,25.003
2001-05-11 00:00:00,24.4987
2001-05-14 00:00:00,24.1945
2001-05-15 00:00:00,23.914
2001-05-16 00:00:00,23.922
2001-05-17 00:00:00,23.7857
2001-05-18 00:00:00,23.6693
2001-05-21 00:00:00,23.5829
2001-05-22 00:00:00,23.4984
2001-05-23 00:00:00,23.3614
2001-05-24 00:00:00,23.2443
2001-05-25 00:00:00,23.0377
2001-05-29 00:00:00,22.5383
2001-05-30 00:00:00,21.6971
2001-05-31 00:00:00,21.062
2001-06-01 00:00:00,20.7987
2001-06-04 00:00:00,20.5381
2001-06-05 00:00:00,20.4127
2001-06-06 00:00:00,20.2711
2001-06-07 00:00:00,20.4118
2001-06-08 00:00:00,20.4534
2001-06-11 00:00:00,20.1688
2001-06-12 00:00:00,20.0192
2001-06-13 00:00:00,19.952
2001-06-14 00:00:00,19.7575
2001-06-15 00:00:00,19.757
2001-06-18 00:00:00,19.7414
2001-06-19 00:00:00,19.7048
2001-06-20 00:00:00,20.0706
2001-06-21 00:00:00,20.5931
2001-06-22 00:00:00,20.9686
2001-06-25 00:00:00,21.7291
2001-06-26 00:00:00,22.2906
2001-06-27 00:00:00,22.6414
2001-06-28 00:00:00,22.9755
2001-06-29 00:00:00,23.1674
2001-07-02 00:00:00,23.4854
2001-07-03 00:00:00,23.7215
2001-07-05 00:00:00,23.7366
2001-07-06 00:00:00,23.4381
2001-07-09 00:00:00,23.359
2001-07-10 00:00:00,22.8825
2001-07-11 00:00:00,22.8502
2001-07-12 00:00:00,23.2921
2001-07-13 00:00:00,23.7763
2001-07-16 00:00:00,23.9349
2001-07-17 00:00:00,24.3523
2001-07-18 00:00:00,23.5668
2001-07-19 00:00:00,22.7008
2001-07-20 00:00:00,21.9941
2001-07-23 00:00:00,21.303
2001-07-24 00:00:00,20.6257
2001-07-25 00:00:00,19.9189
2001-07-26 00:00:00,19.3833
2001-07-27 00:00:00,19.0552
2001-07-30 00:00:00,18.7948
2001-07-31 00:00:00,18.562
2001-08-01 00:00:00,18.4586
2001-08-02 00:00:00,18.5881
2001-08-03 00:00:00,18.6271
2001-08-06 00:00:00,18.5778
2001-08-07 00:00:00,18.5824
2001-08-08 00:00:00,18.5085
2001-08-09 00:00:00,18.4996
2001-08-10 00:00:00,18.4965
2001-08-13 00:00:00,18.5236
2001-08-14 00:00:00,18.4629
2001-08-15 00:00:00,18.3481
2001-08-16 00:00:00,18.3185
2001-08-17 00:00:00,18.1534
2001-08-20 00:00:00,18.0408
2001-08-21 00:00:00,17.9064
2001-08-22 00:00:00,17.8814
2001-08-23 00:00:00,17.7666
2001-08-24 00:00:00,17.879
2001-08-27 00:00:00,18.0704
2001-08-28 00:00:00,18.0996
2001-08-29 00:00:00,17.9817
2001-08-30 00:00:00,17.8913
2001-08-31 00:00:00,18.01
2001-09-04 00:00:00,18.0351
2001-09-05 00:00:00,18.1381
2001-09-06 00:00:00,18.0113
2001-09-07 00:00:00,17.7972
2001-09-10 00:00:00,17.6497
2001-09-17 00:00:00,17.4355
2001-09-18 00:00:00,17.0816
2001-09-19 00:00:00,16.9906
2001-09-20 00:00:00,16.576
2001-09-21 00:00:00,16.258
2001-09-24 00:00:00,16.1941
2001-09-25 00:00:00,15.9159
2001-09-26 00:00:00,15.5974
2001-09-27 00:00:00,15.4414
2001-09-28 00:00:00,15.3256
2001-10-01 00:00:00,15.2504
2001-10-02 00:00:00,15.0734
2001-10-03 00:00:00,14.9219
2001-10-04 00:00:00,15.043
2001-10-05 00:00:00,15.2206
2001-10-08 00:00:00,15.3911
2001-10-09 00:00:00,15.4867
2001-10-10 00:00:00,15.7843
2001-10-11 00:00:00,16.2717
2001-10-12 00:00:00,16.7434
2001-10-15 00:00:00,17.1241
2001-10-16 00:00:00,17.4384
2001-10-17 00:00:00,17.4268
2001-10-18 00:00:00,17.6742
2001-10-19 00:00:00,17.949
2001-10-22 00:00:00,18.354
2001-10-23 00:00:00,18.449
2001-10-24 00:00:00,18.7277
2001-10-25 00:00:00,19.0083
2001-10-26 00:00:00,19.0923
2001-10-29 00:00:00,18.88
2001-10-30 00:00:00,18.6882
2001-10-31 00:00:00,18.5121
2001-11-01 00:00:00,18.6277
2001-11-02 00:00:00,18.7104
2001-11-05 00:00:00,18.9008
2001-11-06 00:00:00,19.1791
2001-11-07 00:00:00,19.4039
2001-11-08 00:00:00,19.3505
2001-11-09 00:00:00,19.2979
2001-11-12 00:00:00,19.2569
2001-11-13 00:00:00,19.3767
2001-11-14 00:00:00,19.5297
2001-11-15 00:00:00,19.6058
2001-11-16 00:00:00,19.5359
2001-11-19 00:00:00,19.7385
2001-11-20 00:00:00,19.7752
2001-11-21 00:00:00,19.8367
2001-11-23 00:00:00,19.9212
2001-11-26 00:00:00,20.3801
2001-11-27 00:00:00,20.6515
2001-11-28 00:00:00,20.7422
2001-11-29 00:00:00,20.7778
2001-11-30 00:00:00,21.0254
2001-12-03 00:00:00,21.1533
