date,DCPERIOD
2001-04-06 00:00:00,17.8207
2001-04-09 00:00:00,17.4953
2001-04-10 00:00:00,17.236
2001-04-11 00:00:00,17.0456
2001-04-12 00:00:00,16.9049
2001-04-16 00:00:00,16.7625
2001-04-17 00:00:00,16.5643
2001-04-18 00:00:00,16.3093
2001-04-19 00:00:00,16.0522
2001-04-20 00:00:00,15.8135
2001-04-23 00:00:00,15.5434
2001-04-24 00:00:00,15.2805
2001-04-25 00:00:00,15.2336
2001-04-26 00:00:00,15.544
2001-04-27 00:00:00,16.2857
2001-04-30 00:00:00,17.3697
2001-05-01 00:00:00,18.343
2001-05-02 00:00:00,18.9504
2001-05-03 00:00:00,19.6287
2001-05-04 00:00:00,20.6657
2001-05-07 00:00:00,21.6749
2001-05-08 00:00:00,22.5151
2001-05-09 00:00:00,23.3908
2001-05-10 00:00:00,24.098
2001-05-11 00:00:00,24.9782
2001-05-14 00:00:00,26.4511
2001-05-15 00:00:00,27.2777
2001-05-16 00:00:00,27.4754
2001-05-17 00:00:00,27.6147
2001-05-18 00:00:00,27.3671
2001-05-21 00:00:00,26.7331
2001-05-22 00:00:00,25.8349
2001-05-23 00:00:00,24.8755
2001-05-24 00:00:00,24.1388
2001-05-25 00:00:00,23.6508
2001-05-29 00:00:00,23.1813
2001-05-30 00:00:00,22.6274
2001-05-31 00:00:00,22.0364
2001-06-01 00:00:00,21.4381
2001-06-04 00:00:00,20.8366
2001-06-05 00:00:00,20.2663
2001-06-06 00:00:00,19.8208
2001-06-07 00:00:00,19.4855
2001-06-08 00:00:00,19.1484
2001-06-11 00:00:00,18.7887
2001-06-12 00:00:00,18.5334
2001-06-13 00:00:00,18.4496
2001-06-14 00:00:00,18.4459
2001-06-15 00:00:00,18.4244
2001-06-18 00:00:00,18.3621
2001-06-19 00:00:00,18.2661
2001-06-20 00:00:00,18.1333
2001-06-21 00:00:00,17.9623
2001-06-22 00:00:00,17.7497
2001-06-25 00:00:00,17.5341
2001-06-26 00:00:00,17.3927
2001-06-27 00:00:00,17.2545
2001-06-28 00:00:00,17.1213
2001-06-29 00:00:00,17.2869
2001-07-02 00:00:00,17.6429
2001-07-03 00:00:00,17.7789
2001-07-05 00:00:00,17.7893
2001-07-06 00:00:00,17.8662
2001-07-09 00:00:00,18.0445
2001-07-10 00:00:00,18.3291
2001-07-11 00:00:00,18.6539
2001-07-12 00:00:00,18.8848
2001-07-13 00:00:00,19.0532
2001-07-16 00:00:00,19.4264
2001-07-17 00:00:00,19.954
2001-07-18 00:00:00,20.1491
2001-07-19 00:00:00,19.9302
2001-07-20 00:00:00,19.7794
2001-07-23 00:00:00,20.1222
2001-07-24 00:00:00,20.2189
2001-07-25 00:00:00,19.839
2001-07-26 00:00:00,19.4862
2001-07-27 00:00:00,19.8566
2001-07-30 00:00:00,19.9237
2001-07-31 00:00:00,19.5318
2001-08-01 00:00:00,18.8611
2001-08-02 00:00:00,18.235
2001-08-03 00:00:00,17.7877
2001-08-06 00:00:00,17.5573
2001-08-07 00:00:00,17.5238
2001-08-08 00:00:00,17.6129
2001-08-09 00:00:00,17.7597
2001-08-10 00:00:00,17.9463
2001-08-13 00:00:00,18.1643
2001-08-14 00:00:00,18.3694
2001-08-15 00:00:00,18.5282
2001-08-16 00:00:00,18.6532
2001-08-17 00:00:00,18.7509
2001-08-20 00:00:00,18.8153
2001-08-21 00:00:00,18.8545
2001-08-22 00:00:00,18.8993
2001-08-23 00:00:00,18.9827
2001-08-24 00:00:00,19.1307
2001-08-27 00:00:00,19.2964
2001-08-28 00:00:00,19.4379
2001-08-29 00:00:00,19.5682
2001-08-30 00:00:00,19.712
2001-08-31 00:00:00,19.8257
2001-09-04 00:00:00,19.9465
2001-09-05 00:00:00,20.274
2001-09-06 00:00:00,20.6382
2001-09-07 00:00:00,20.7226
2001-09-10 00:00:00,20.6232
2001-09-17 00:00:00,20.3529
2001-09-18 00:00:00,19.8382
2001-09-19 00:00:00,19.3499
2001-09-20 00:00:00,19.4477
2001-09-21 00:00:00,20.1616
2001-09-24 00:00:00,21.3531
2001-09-25 00:00:00,21.7759
2001-09-26 00:00:00,21.6739
2001-09-27 00:00:00,22.004
2001-09-28 00:00:00,22.2863
2001-10-01 00:00:00,22.4321
2001-10-02 00:00:00,23.2798
2001-10-03 00:00:00,24.4136
2001-10-04 00:00:00,25.0302
2001-10-05 00:00:00,25.4502
2001-10-08 00:00:00,26.205
2001-10-09 00:00:00,27.2676
2001-10-10 00:00:00,28.1812
2001-10-11 00:00:00,28.5154
2001-10-12 00:00:00,29.0196
2001-10-15 00:00:00,30.3489
2001-10-16 00:00:00,32.3301
2001-10-17 00:00:00,33.0454
2001-10-18 00:00:00,32.9032
2001-10-19 00:00:00,32.8472
2001-10-22 00:00:00,33.285
2001-10-23 00:00:00,32.8984
2001-10-24 00:00:00,31.94
2001-10-25 00:00:00,31.3874
