date,ADX
2001-02-28 00:00:00,18.0298
2001-03-01 00:00:00,17.2557
2001-03-02 00:00:00,16.9533
2001-03-05 00:00:00,16.6881
2001-03-06 00:00:00,16.9668
2001-03-07 00:00:00,17.2316
2001-03-08 00:00:00,17.3257
2001-03-09 00:00:00,17.1942
2001-03-12 00:00:00,16.4191
2001-03-13 00:00:00,15.6828
2001-03-14 00:00:00,15.187
2001-03-15 00:00:00,15.0303
2001-03-16 00:00:00,14.5337
2001-03-19 00:00:00,14.1763
2001-03-20 00:00:00,13.9549
2001-03-21 00:00:00,13.6011
2001-03-22 00:00:00,13.5927
2001-03-23 00:00:00,14.1573
2001-03-26 00:00:00,14.302
2001-03-27 00:00:00,14.4394
2001-03-28 00:00:00,14.3888
2001-03-29 00:00:00,14.6517
2001-03-30 00:00:00,14.8262
2001-04-02 00:00:00,14.992
2001-04-03 00:00:00,14.5611
2001-04-04 00:00:00,14.0583
2001-04-05 00:00:00,13.9103
2001-04-06 00:00:00,13.7313
2001-04-09 00:00:00,13.6573
2001-04-10 00:00:00,13.9941
2001-04-11 00:00:00,14.3981
2001-04-12 00:00:00,14.7237
2001-04-16 00:00:00,14.9008
2001-04-17 00:00:00,14.5308
2001-04-18 00:00:00,15.0077
2001-04-19 00:00:00,15.8361
2001-04-20 00:00:00,16.6231
2001-04-23 00:00:00,17.1216
2001-04-24 00:00:00,17.3957
2001-04-25 00:00:00,17.6846
2001-04-26 00:00:00,18.269
2001-04-27 00:00:00,18.8695
2001-04-30 00:00:00,19.6344
2001-05-01 00:00:00,20.361
2001-05-02 00:00:00,21.0996
2001-05-03 00:00:00,21.3035
2001-05-04 00:00:00,21.1542
2001-05-07 00:00:00,21.0124
2001-05-08 00:00:00,20.4898
2001-05-09 00:00:00,19.8758
2001-05-10 00:00:00,18.9981
2001-05-11 00:00:00,18.0882
2001-05-14 00:00:00,17.3003
2001-05-15 00:00:00,17.2092
2001-05-16 00:00:00,17.0385
2001-05-17 00:00:00,16.8763
2001-05-18 00:00:00,16.6601
2001-05-21 00:00:00,16.5567
2001-05-22 00:00:00,16.5423
2001-05-23 00:00:00,16.248
2001-05-24 00:00:00,15.8463
2001-05-25 00:00:00,15.4025
2001-05-29 00:00:00,15.0622
2001-05-30 00:00:00,15.289
2001-05-31 00:00:00,15.5045
2001-06-01 00:00:00,15.2916
2001-06-04 00:00:00,15.0797
2001-06-05 00:00:00,14.9224
2001-06-06 00:00:00,14.7814
2001-06-07 00:00:00,14.2484
2001-06-08 00:00:00,13.742
2001-06-11 00:00:00,13.6073
2001-06-12 00:00:00,13.5621
2001-06-13 00:00:00,12.9725
2001-06-14 00:00:00,12.5483
2001-06-15 00:00:00,12.3388
2001-06-18 00:00:00,12.0853
2001-06-19 00:00:00,11.5496
2001-06-20 00:00:00,11.1328
2001-06-21 00:00:00,11.2616
2001-06-22 00:00:00,11.3839
2001-06-25 00:00:00,11.9083
2001-06-26 00:00:00,12.4065
2001-06-27 00:00:00,12.5706
2001-06-28 00:00:00,12.7264
2001-06-29 00:00:00,13.3634
