date,EMA
2001-07-20 00:00:00,22.3828
2001-07-23 00:00:00,22.1121
2001-07-24 00:00:00,21.8243
2001-07-25 00:00:00,21.5048
2001-07-26 00:00:00,21.2272
2001-07-27 00:00:00,21.0113
2001-07-30 00:00:00,20.8131
2001-07-31 00:00:00,20.6204
2001-08-01 00:00:00,20.4718
2001-08-02 00:00:00,20.4097
2001-08-03 00:00:00,20.3231
2001-08-06 00:00:00,20.2094
2001-08-07 00:00:00,20.1181
2001-08-08 00:00:00,20.0021
2001-08-09 00:00:00,19.9114
2001-08-10 00:00:00,19.8265
2001-08-13 00:00:00,19.7564
2001-08-14 00:00:00,19.6586
2001-08-15 00:00:00,19.5426
2001-08-16 00:00:00,19.4575
2001-08-17 00:00:00,19.3254
2001-08-20 00:00:00,19.2106
2001-08-21 00:00:00,19.0877
2001-08-22 00:00:00,19.0041
2001-08-23 00:00:00,18.8904
2001-08-24 00:00:00,18.8599
2001-08-27 00:00:00,18.8656
2001-08-28 00:00:00,18.8212
2001-08-29 00:00:00,18.7268
2001-08-30 00:00:00,18.6414
2001-08-31 00:00:00,18.6327
2001-09-04 00:00:00,18.5963
2001-09-05 00:00:00,18.5919
2001-09-06 00:00:00,18.5088
2001-09-07 00:00:00,18.3918
2001-09-10 00:00:00,18.2945
2001-09-17 00:00:00,18.1702
2001-09-18 00:00:00,17.9902
2001-09-19 00:00:00,17.8978
2001-09-20 00:00:00,17.6866
2001-09-21 00:00:00,17.5003
2001-09-24 00:00:00,17.4002
2001-09-25 00:00:00,17.2231
2001-09-26 00:00:00,17.0256
2001-09-27 00:00:00,16.8813
2001-09-28 00:00:00,16.7507
2001-10-01 00:00:00,16.6354
2001-10-02 00:00:00,16.4844
2001-10-03 00:00:00,16.3411
2001-10-04 00:00:00,16.2972
2001-10-05 00:00:00,16.2822
2001-10-08 00:00:00,16.2744
2001-10-09 00:00:00,16.2483
2001-10-10 00:00:00,16.3027
2001-10-11 00:00:00,16.4396
2001-10-12 00:00:00,16.5892
2001-10-15 00:00:00,16.7226
2001-10-16 00:00:00,16.8452
2001-10-17 00:00:00,16.859
2001-10-18 00:00:00,16.9676
2001-10-19 00:00:00,17.0945
2001-10-22 00:00:00,17.2779
2001-10-23 00:00:00,17.36
2001-10-24 00:00:00,17.5114
2001-10-25 00:00:00,17.6713
2001-10-26 00:00:00,17.7664
2001-10-29 00:00:00,17.7534
2001-10-30 00:00:00,17.7388
2001-10-31 00:00:00,17.7218
2001-11-01 00:00:00,17.8045
2001-11-02 00:00:00,17.8774
2001-11-05 00:00:00,17.991
2001-11-06 00:00:00,18.1413
2001-11-07 00:00:00,18.2793
2001-11-08 00:00:00,18.3203
2001-11-09 00:00:00,18.3574
2001-11-12 00:00:00,18.3948
2001-11-13 00:00:00,18.4877
2001-11-14 00:00:00,18.5946
2001-11-15 00:00:00,18.6761
2001-11-16 00:00:00,18.7041
2001-11-19 00:00:00,18.8275
2001-11-20 00:00:00,18.8944
2001-11-21 00:00:00,18.9692
2001-11-23 00:00:00,19.0521
2001-11-26 00:00:00,19.2729
2001-11-27 00:00:00,19.4374
2001-11-28 00:00:00,19.5414
2001-11-29 00:00:00,19.6251
2001-11-30 00:00:00,19.7846
2001-12-03 00:00:00,19.9051
2001-12-04 00:00:00,20.1427
2001-12-05 00:00:00,20.4872
2001-12-06 00:00:00,20.7056
2001-12-07 00:00:00,20.8803
2001-12-10 00:00:00,21.0384
2001-12-11 00:00:00,21.109
2001-12-12 00:00:00,21.1453
2001-12-13 00:00:00,21.1314
2001-12-14 00:00:00,21.0608
2001-12-17 00:00:00,21.0189
2001-12-18 00:00:00,21.018
2001-12-19 00:00:00,21.0753
2001-12-20 00:00:00,21.0367
2001-12-21 00:00:00,21.0332
2001-12-24 00:00:00,21.0644
2001-12-26 00:00:00,21.1049
2001-12-27 00:00:00,21.1968
2001-12-28 00:00:00,21.3143
2001-12-31 00:00:00,21.37
2002-01-02 00:00:00,21.5538
2002-01-03 00:00:00,21.7468
2002-01-04 00:00:00,21.9319
2002-01-07 00:00:00,22.0241
2002-01-08 00:00:00,22.0799
2002-01-09 00:00:00,22.0389
2002-01-10 00:00:00,21.9619
2002-01-11 00:00:00,21.8751
2002-01-14 00:00:00,21.806
2002-01-15 00:00:00,21.7959
2002-01-16 00:00:00,21.6992
2002-01-17 00:00:00,21.7735
2002-01-18 00:00:00,21.8113
2002-01-22 00:00:00,21.8121
2002-01-23 00:00:00,21.9271
2002-01-24 00:00:00,22.0493
2002-01-25 00:00:00,22.1637
2002-01-28 00:00:00,22.269
2002-01-29 00:00:00,22.3453
2002-01-30 00:00:00,22.5115
2002-01-31 00:00:00,22.7218
2002-02-01 00:00:00,22.8826
2002-02-04 00:00:00,23.1176
2002-02-05 00:00:00,23.3397
2002-02-06 00:00:00,23.4664
2002-02-07 00:00:00,23.5458
2002-02-08 00:00:00,23.5919
2002-02-11 00:00:00,23.7241
2002-02-12 00:00:00,23.818
2002-02-13 00:00:00,23.9315
2002-02-14 00:00:00,23.9952
2002-02-15 00:00:00,23.9861
2002-02-19 00:00:00,23.856
2002-02-20 00:00:00,23.7869
2002-02-21 00:00:00,23.5691
2002-02-22 00:00:00,23.4901
2002-02-25 00:00:00,23.5206
2002-02-26 00:00:00,23.5348
2002-02-27 00:00:00,23.3848
2002-02-28 00:00:00,23.2244
2002-03-01 00:00:00,23.2459
2002-03-04 00:00:00,23.3453
2002-03-05 00:00:00,23.3629
2002-03-06 00:00:00,23.4302
2002-03-07 00:00:00,23.5207
2002-03-08 00:00:00,23.6292
2002-03-11 00:00:00,23.7655
2002-03-12 00:00:00,23.8564
2002-03-13 00:00:00,23.9167
2002-03-14 00:00:00,23.9656
2002-03-15 00:00:00,24.0594
2002-03-18 00:00:00,24.1242
2002-03-19 00:00:00,24.1933
2002-03-20 00:00:00,24.2625
2002-03-21 00:00:00,24.2632
2002-03-22 00:00:00,24.2467
2002-03-25 00:00:00,24.1613
2002-03-26 00:00:00,24.0945
2002-03-27 00:00:00,24.0351
2002-03-28 00:00:00,24.0003
2002-04-01 00:00:00,24.0441
2002-04-02 00:00:00,24.0465
2002-04-03 00:00:00,24.0183
2002-04-04 00:00:00,24.1023
2002-04-05 00:00:00,24.163
2002-04-08 00:00:00,24.2008
2002-04-09 00:00:00,24.1912
2002-04-10 00:00:00,24.2359
2002-04-11 00:00:00,24.2953
2002-04-12 00:00:00,24.3681
2002-04-15 00:00:00,24.4283
2002-04-16 00:00:00,24.5532
2002-04-17 00:00:00,24.7015
2002-04-18 00:00:00,24.769
2002-04-19 00:00:00,24.7891
2002-04-22 00:00:00,24.7644
2002-04-23 00:00:00,24.7154
2002-04-24 00:00:00,24.6254
2002-04-25 00:00:00,24.5772
2002-04-26 00:00:00,24.428
2002-04-29 00:00:00,24.3834
2002-04-30 00:00:00,24.3726
2002-05-01 00:00:00,24.3352
2002-05-02 00:00:00,24.2738
2002-05-03 00:00:00,24.201
2002-05-06 00:00:00,24.0533
2002-05-07 00:00:00,23.9025
2002-05-08 00:00:00,23.947
2002-05-09 00:00:00,23.9702
2002-05-10 00:00:00,23.9083
2002-05-13 00:00:00,23.9113
2002-05-14 00:00:00,24.0731
2002-05-15 00:00:00,24.188
2002-05-16 00:00:00,24.2853
2002-05-17 00:00:00,24.3544
2002-05-20 00:00:00,24.3911
2002-05-21 00:00:00,24.3024
2002-05-22 00:00:00,24.3041
2002-05-23 00:00:00,24.3875
