date,MFI
2001-10-24 00:00:00,64.7765
2001-10-25 00:00:00,64.7221
2001-10-26 00:00:00,60.0694
2001-10-29 00:00:00,59.531
2001-10-30 00:00:00,58.8987
2001-10-31 00:00:00,66.0171
2001-11-01 00:00:00,65.8355
2001-11-02 00:00:00,65.2974
2001-11-05 00:00:00,65.6516
2001-11-06 00:00:00,69.0418
2001-11-07 00:00:00,69.6853
2001-11-08 00:00:00,64.3586
2001-11-09 00:00:00,61.3922
2001-11-12 00:00:00,57.413
2001-11-13 00:00:00,60.8432
2001-11-14 00:00:00,64.9921
2001-11-15 00:00:00,58.8972
2001-11-16 00:00:00,55.3812
2001-11-19 00:00:00,55.0505
2001-11-20 00:00:00,64.4297
2001-11-21 00:00:00,59.2779
2001-11-23 00:00:00,57.7054
2001-11-26 00:00:00,64.9483
2001-11-27 00:00:00,69.7384
2001-11-28 00:00:00,69.5054
2001-11-29 00:00:00,65.1019
2001-11-30 00:00:00,65.3405
2001-12-03 00:00:00,61.5901
2001-12-04 00:00:00,63.0158
2001-12-05 00:00:00,65.4075
2001-12-06 00:00:00,58.516
2001-12-07 00:00:00,59.5647
2001-12-10 00:00:00,62.3321
2001-12-11 00:00:00,61.8918
2001-12-12 00:00:00,58.1076
2001-12-13 00:00:00,54.2997
2001-12-14 00:00:00,54.4366
2001-12-17 00:00:00,58.0762
2001-12-18 00:00:00,57.4428
2001-12-19 00:00:00,57.7171
2001-12-20 00:00:00,57.3628
2001-12-21 00:00:00,58.9439
2001-12-24 00:00:00,55.605
2001-12-26 00:00:00,54.538
2001-12-27 00:00:00,59.1934
2001-12-28 00:00:00,64.1656
2001-12-31 00:00:00,59.9705
2002-01-02 00:00:00,66.4786
2002-01-03 00:00:00,68.2131
2002-01-04 00:00:00,67.1876
2002-01-07 00:00:00,65.6655
2002-01-08 00:00:00,62.5716
2002-01-09 00:00:00,57.7582
2002-01-10 00:00:00,55.5259
2002-01-11 00:00:00,59.7704
2002-01-14 00:00:00,57.7348
2002-01-15 00:00:00,61.2589
2002-01-16 00:00:00,55.375
2002-01-17 00:00:00,58.1838
2002-01-18 00:00:00,53.7811
2002-01-22 00:00:00,52.9173
2002-01-23 00:00:00,54.2229
2002-01-24 00:00:00,56.0592
2002-01-25 00:00:00,53.8664
2002-01-28 00:00:00,53.897
2002-01-29 00:00:00,50.3585
2002-01-30 00:00:00,54.2873
2002-01-31 00:00:00,54.1311
2002-02-01 00:00:00,52.95
2002-02-04 00:00:00,53.8501
2002-02-05 00:00:00,59.9236
2002-02-06 00:00:00,58.4053
2002-02-07 00:00:00,57.9833
2002-02-08 00:00:00,58.2867
2002-02-11 00:00:00,58.8235
2002-02-12 00:00:00,62.8716
2002-02-13 00:00:00,63.1819
2002-02-14 00:00:00,65.0766
2002-02-15 00:00:00,59.6891
2002-02-19 00:00:00,59.1935
2002-02-20 00:00:00,59.4222
2002-02-21 00:00:00,53.6894
2002-02-22 00:00:00,53.9882
