date,ADOSC
2001-01-18 00:00:00,3164724.3287
2001-01-19 00:00:00,8814092.4944
2001-01-22 00:00:00,11424186.0088
2001-01-23 00:00:00,14111544.3954
2001-01-24 00:00:00,16632286.3286
2001-01-25 00:00:00,14674377.0604
2001-01-26 00:00:00,13453813.233
2001-01-29 00:00:00,16326022.9051
2001-01-30 00:00:00,18210250.0813
2001-01-31 00:00:00,14583883.3184
2001-02-01 00:00:00,12278691.8864
2001-02-02 00:00:00,8196016.5837
2001-02-05 00:00:00,5921227.4803
2001-02-06 00:00:00,6060025.4175
2001-02-07 00:00:00,7297174.4928
2001-02-08 00:00:00,8126265.0698
2001-02-09 00:00:00,5734017.6493
2001-02-12 00:00:00,4980126.0574
2001-02-13 00:00:00,3096484.7039
2001-02-14 00:00:00,3424405.5408
2001-02-15 00:00:00,2982850.9176
2001-02-16 00:00:00,2031214.8519
2001-02-20 00:00:00,11605.4022
2001-02-21 00:00:00,-1406079.4012
2001-02-22 00:00:00,-1410346.0259
2001-02-23 00:00:00,62646.7386
2001-02-26 00:00:00,1438043.1499
2001-02-27 00:00:00,3480540.4863
2001-02-28 00:00:00,1680791.5012
2001-03-01 00:00:00,2669354.0527
2001-03-02 00:00:00,2630863.1672
2001-03-05 00:00:00,3834725.117
2001-03-06 00:00:00,4737356.0401
2001-03-07 00:00:00,5032138.622
2001-03-08 00:00:00,4797967.8249
2001-03-09 00:00:00,3797977.2288
2001-03-12 00:00:00,2091460.4187
2001-03-13 00:00:00,3722125.322
2001-03-14 00:00:00,6607338.4063
2001-03-15 00:00:00,4179499.3584
2001-03-16 00:00:00,2917681.738
2001-03-19 00:00:00,3942290.9626
2001-03-20 00:00:00,1166659.1942
2001-03-21 00:00:00,-74886.4559
2001-03-22 00:00:00,2848739.8498
2001-03-23 00:00:00,5300036.0329
2001-03-26 00:00:00,3718580.9181
2001-03-27 00:00:00,4856193.0307
2001-03-28 00:00:00,6009569.1649
2001-03-29 00:00:00,6131575.7713
2001-03-30 00:00:00,5755939.0428
2001-04-02 00:00:00,3726180.0641
2001-04-03 00:00:00,825147.9421
2001-04-04 00:00:00,-436651.3753
2001-04-05 00:00:00,-1684826.9347
2001-04-06 00:00:00,-1653654.2005
