date,KAMA
2002-01-18 00:00:00,20.9176
2002-01-22 00:00:00,20.9327
2002-01-23 00:00:00,20.9931
2002-01-24 00:00:00,21.0518
2002-01-25 00:00:00,21.1071
2002-01-28 00:00:00,21.1448
2002-01-29 00:00:00,21.1645
2002-01-30 00:00:00,21.2636
2002-01-31 00:00:00,21.3392
2002-02-01 00:00:00,21.3784
2002-02-04 00:00:00,21.4731
2002-02-05 00:00:00,21.6514
2002-02-06 00:00:00,21.7472
2002-02-07 00:00:00,21.8696
2002-02-08 00:00:00,21.984
2002-02-11 00:00:00,22.22
2002-02-12 00:00:00,22.3848
2002-02-13 00:00:00,22.5461
2002-02-14 00:00:00,22.7147
2002-02-15 00:00:00,22.7435
2002-02-19 00:00:00,22.7425
2002-02-20 00:00:00,22.7501
2002-02-21 00:00:00,22.7226
2002-02-22 00:00:00,22.7227
2002-02-25 00:00:00,22.7316
2002-02-26 00:00:00,22.7381
2002-02-27 00:00:00,22.7286
2002-02-28 00:00:00,22.6995
2002-03-01 00:00:00,22.7095
2002-03-04 00:00:00,22.7171
2002-03-05 00:00:00,22.7321
2002-03-06 00:00:00,22.7505
2002-03-07 00:00:00,22.7599
2002-03-08 00:00:00,22.7716
2002-03-11 00:00:00,22.7968
2002-03-12 00:00:00,22.8077
2002-03-13 00:00:00,22.8168
2002-03-14 00:00:00,22.8295
2002-03-15 00:00:00,22.8427
2002-03-18 00:00:00,22.8618
2002-03-19 00:00:00,22.9183
2002-03-20 00:00:00,22.9639
2002-03-21 00:00:00,23.0213
2002-03-22 00:00:00,23.043
2002-03-25 00:00:00,23.0456
2002-03-26 00:00:00,23.0481
2002-03-27 00:00:00,23.0607
2002-03-28 00:00:00,23.0869
2002-04-01 00:00:00,23.1167
2002-04-02 00:00:00,23.1234
2002-04-03 00:00:00,23.1279
2002-04-04 00:00:00,23.1603
2002-04-05 00:00:00,23.1748
2002-04-08 00:00:00,23.1822
2002-04-09 00:00:00,23.2025
2002-04-10 00:00:00,23.2096
2002-04-11 00:00:00,23.2248
2002-04-12 00:00:00,23.25
2002-04-15 00:00:00,23.2583
2002-04-16 00:00:00,23.3121
2002-04-17 00:00:00,23.3884
2002-04-18 00:00:00,23.4089
2002-04-19 00:00:00,23.4308
2002-04-22 00:00:00,23.4411
2002-04-23 00:00:00,23.4557
2002-04-24 00:00:00,23.4581
2002-04-25 00:00:00,23.4662
2002-04-26 00:00:00,23.461
2002-04-29 00:00:00,23.4656
2002-04-30 00:00:00,23.4704
2002-05-01 00:00:00,23.4736
2002-05-02 00:00:00,23.4785
2002-05-03 00:00:00,23.4792
2002-05-06 00:00:00,23.4497
2002-05-07 00:00:00,23.4201
2002-05-08 00:00:00,23.4264
2002-05-09 00:00:00,23.4346
2002-05-10 00:00:00,23.4317
2002-05-13 00:00:00,23.439
2002-05-14 00:00:00,23.4499
2002-05-15 00:00:00,23.47
2002-05-16 00:00:00,23.4797
2002-05-17 00:00:00,23.4864
2002-05-20 00:00:00,23.4935
2002-05-21 00:00:00,23.4932
2002-05-22 00:00:00,23.4999
2002-05-23 00:00:00,23.5212
2002-05-24 00:00:00,23.5298
2002-05-28 00:00:00,23.5317
2002-05-29 00:00:00,23.5345
2002-05-30 00:00:00,23.5383
2002-05-31 00:00:00,23.5366
2002-06-03 00:00:00,23.5313
2002-06-04 00:00:00,23.5275
2002-06-05 00:00:00,23.5227
2002-06-06 00:00:00,23.4739
2002-06-07 00:00:00,23.379
2002-06-10 00:00:00,23.3239
2002-06-11 00:00:00,23.134
2002-06-12 00:00:00,22.6168
2002-06-13 00:00:00,22.0794
2002-06-14 00:00:00,21.817
2002-06-17 00:00:00,21.6857
2002-06-18 00:00:00,21.524
2002-06-19 00:00:00,20.9116
2002-06-20 00:00:00,20.1721
2002-06-21 00:00:00,19.2619
2002-06-24 00:00:00,18.8295
2002-06-25 00:00:00,18.4639
2002-06-26 00:00:00,18.0301
2002-06-27 00:00:00,17.8338
2002-06-28 00:00:00,17.8181
2002-07-01 00:00:00,17.709
2002-07-02 00:00:00,17.5985
2002-07-03 00:00:00,17.5932
2002-07-05 00:00:00,17.6545
2002-07-08 00:00:00,17.6733
2002-07-09 00:00:00,17.6642
2002-07-10 00:00:00,17.6471
2002-07-11 00:00:00,17.6619
2002-07-12 00:00:00,17.6577
2002-07-15 00:00:00,17.6709
2002-07-16 00:00:00,17.6777
2002-07-17 00:00:00,17.5503
2002-07-18 00:00:00,17.4776
2002-07-19 00:00:00,17.4054
2002-07-22 00:00:00,17.3415
2002-07-23 00:00:00,17.223
2002-07-24 00:00:00,17.1737
2002-07-25 00:00:00,17.0963
2002-07-26 00:00:00,16.9911
2002-07-29 00:00:00,16.9168
2002-07-30 00:00:00,16.8858
2002-07-31 00:00:00,16.8509
2002-08-01 00:00:00,16.7686
2002-08-02 00:00:00,16.5707
2002-08-05 00:00:00,16.3641
2002-08-06 00:00:00,16.2907
2002-08-07 00:00:00,16.2475
2002-08-08 00:00:00,16.196
2002-08-09 00:00:00,16.1424
2002-08-12 00:00:00,16.0584
2002-08-13 00:00:00,15.9505
2002-08-14 00:00:00,15.9427
2002-08-15 00:00:00,15.9385
2002-08-16 00:00:00,15.9363
2002-08-19 00:00:00,15.9372
2002-08-20 00:00:00,15.9364
2002-08-21 00:00:00,15.9401
2002-08-22 00:00:00,15.9415
2002-08-23 00:00:00,15.9338
2002-08-26 00:00:00,15.9285
2002-08-27 00:00:00,15.9132
2002-08-28 00:00:00,15.8965
2002-08-29 00:00:00,15.8898
2002-08-30 00:00:00,15.8791
2002-09-03 00:00:00,15.87
2002-09-04 00:00:00,15.858
2002-09-05 00:00:00,15.8168
2002-09-06 00:00:00,15.7774
2002-09-09 00:00:00,15.7508
2002-09-10 00:00:00,15.7226
2002-09-11 00:00:00,15.7078
2002-09-12 00:00:00,15.6423
2002-09-13 00:00:00,15.5267
2002-09-16 00:00:00,15.4601
2002-09-17 00:00:00,15.425
2002-09-18 00:00:00,15.4111
2002-09-19 00:00:00,15.3534
2002-09-20 00:00:00,15.3336
2002-09-23 00:00:00,15.3179
2002-09-24 00:00:00,15.2956
2002-09-25 00:00:00,15.2935
2002-09-26 00:00:00,15.291
2002-09-27 00:00:00,15.2884
2002-09-30 00:00:00,15.2808
2002-10-01 00:00:00,15.2662
2002-10-02 00:00:00,15.2517
2002-10-03 00:00:00,15.2448
2002-10-04 00:00:00,15.2263
2002-10-07 00:00:00,15.1897
2002-10-08 00:00:00,15.1494
2002-10-09 00:00:00,15.1045
2002-10-10 00:00:00,15.1001
2002-10-11 00:00:00,15.0931
2002-10-14 00:00:00,15.0899
2002-10-15 00:00:00,15.0908
2002-10-16 00:00:00,15.0832
2002-10-17 00:00:00,15.0691
2002-10-18 00:00:00,15.0571
2002-10-21 00:00:00,15.0524
2002-10-22 00:00:00,15.0506
2002-10-23 00:00:00,15.0497
2002-10-24 00:00:00,15.0482
2002-10-25 00:00:00,15.0553
2002-10-28 00:00:00,15.0737
2002-10-29 00:00:00,15.0832
2002-10-30 00:00:00,15.1371
2002-10-31 00:00:00,15.192
2002-11-01 00:00:00,15.2957
2002-11-04 00:00:00,15.5065
2002-11-05 00:00:00,15.7033
2002-11-06 00:00:00,15.9496
2002-11-07 00:00:00,15.9521
2002-11-08 00:00:00,15.9485
2002-11-11 00:00:00,15.9411
