date,CCI
2001-03-19 00:00:00,58.496
2001-03-20 00:00:00,42.388
2001-03-21 00:00:00,38.988
2001-03-22 00:00:00,121.5617
2001-03-23 00:00:00,228.2965
2001-03-26 00:00:00,153.0248
2001-03-27 00:00:00,152.7391
2001-03-28 00:00:00,100.6004
2001-03-29 00:00:00,114.5174
2001-03-30 00:00:00,76.2796
2001-04-02 00:00:00,59.3994
2001-04-03 00:00:00,-21.0603
2001-04-04 00:00:00,-82.8816
2001-04-05 00:00:00,16.9889
2001-04-06 00:00:00,-21.4987
2001-04-09 00:00:00,-20.0221
2001-04-10 00:00:00,53.2607
2001-04-11 00:00:00,59.8329
2001-04-12 00:00:00,64.8516
2001-04-16 00:00:00,13.8717
2001-04-17 00:00:00,-78.9822
2001-04-18 00:00:00,92.2204
2001-04-19 00:00:00,250.9129
2001-04-20 00:00:00,216.2084
2001-04-23 00:00:00,152.7433
2001-04-24 00:00:00,113.853
2001-04-25 00:00:00,114.4156
2001-04-26 00:00:00,129.7725
2001-04-27 00:00:00,131.7208
2001-04-30 00:00:00,115.387
2001-05-01 00:00:00,102.1126
2001-05-02 00:00:00,105.5945
2001-05-03 00:00:00,64.3981
2001-05-04 00:00:00,54.8514
2001-05-07 00:00:00,50.5695
2001-05-08 00:00:00,23.6899
2001-05-09 00:00:00,-10.1055
2001-05-10 00:00:00,-47.7534
2001-05-11 00:00:00,-78.9863
2001-05-14 00:00:00,-78.4591
2001-05-15 00:00:00,-57.5328
2001-05-16 00:00:00,-74.615
2001-05-17 00:00:00,-75.3165
2001-05-18 00:00:00,-88.3996
2001-05-21 00:00:00,-75.0492
2001-05-22 00:00:00,-59.3267
2001-05-23 00:00:00,-80.1965
2001-05-24 00:00:00,-88.5652
2001-05-25 00:00:00,-95.8493
2001-05-29 00:00:00,-176.9827
2001-05-30 00:00:00,-268.3755
2001-05-31 00:00:00,-233.3333
2001-06-01 00:00:00,-152.2902
2001-06-04 00:00:00,-122.7628
2001-06-05 00:00:00,-100.7518
2001-06-06 00:00:00,-92.6447
2001-06-07 00:00:00,-53.9666
2001-06-08 00:00:00,-50.0928
2001-06-11 00:00:00,-84.2709
2001-06-12 00:00:00,-80.7757
2001-06-13 00:00:00,-51.7749
2001-06-14 00:00:00,-83.2349
2001-06-15 00:00:00,-70.9765
2001-06-18 00:00:00,-55.101
2001-06-19 00:00:00,-41.5911
2001-06-20 00:00:00,16.3613
2001-06-21 00:00:00,123.4904
2001-06-22 00:00:00,150.849
2001-06-25 00:00:00,250.3121
2001-06-26 00:00:00,206.1469
2001-06-27 00:00:00,155.0881
2001-06-28 00:00:00,138.7704
2001-06-29 00:00:00,135.4139
2001-07-02 00:00:00,111.2299
2001-07-03 00:00:00,101.1055
2001-07-05 00:00:00,67.6258
2001-07-06 00:00:00,11.5383
2001-07-09 00:00:00,20.1548
2001-07-10 00:00:00,-24.9839
2001-07-11 00:00:00,-11.7847
2001-07-12 00:00:00,105.1657
2001-07-13 00:00:00,117.8027
2001-07-16 00:00:00,95.5243
2001-07-17 00:00:00,97.9141
2001-07-18 00:00:00,-127.169
2001-07-19 00:00:00,-184.3189
2001-07-20 00:00:00,-185.8486
2001-07-23 00:00:00,-156.6668
2001-07-24 00:00:00,-156.9787
2001-07-25 00:00:00,-158.1988
2001-07-26 00:00:00,-140.4568
2001-07-27 00:00:00,-106.4593
2001-07-30 00:00:00,-93.8071
2001-07-31 00:00:00,-84.9937
2001-08-01 00:00:00,-65.5624
2001-08-02 00:00:00,-46.9689
2001-08-03 00:00:00,-49.0217
2001-08-06 00:00:00,-52.065
2001-08-07 00:00:00,-47.0688
2001-08-08 00:00:00,-53.2608
2001-08-09 00:00:00,-53.8467
2001-08-10 00:00:00,-52.9357
2001-08-13 00:00:00,-44.5824
2001-08-14 00:00:00,-56.9528
2001-08-15 00:00:00,-117.2923
2001-08-16 00:00:00,-127.6058
2001-08-17 00:00:00,-172.5556
2001-08-20 00:00:00,-175.6049
2001-08-21 00:00:00,-163.226
2001-08-22 00:00:00,-127.632
2001-08-23 00:00:00,-131.4628
2001-08-24 00:00:00,-67.3759
2001-08-27 00:00:00,6.5078
2001-08-28 00:00:00,-12.7236
2001-08-29 00:00:00,-74.0741
2001-08-30 00:00:00,-119.4384
2001-08-31 00:00:00,-40.6275
2001-09-04 00:00:00,2.6988
2001-09-05 00:00:00,17.2211
2001-09-06 00:00:00,-59.7497
2001-09-07 00:00:00,-155.0837
2001-09-10 00:00:00,-184.2254
2001-09-17 00:00:00,-258.357
2001-09-18 00:00:00,-196.2218
2001-09-19 00:00:00,-177.328
2001-09-20 00:00:00,-192.4508
2001-09-21 00:00:00,-191.143
2001-09-24 00:00:00,-97.8723
2001-09-25 00:00:00,-132.5129
2001-09-26 00:00:00,-136.5844
2001-09-27 00:00:00,-109.5999
2001-09-28 00:00:00,-91.3366
2001-10-01 00:00:00,-84.5738
2001-10-02 00:00:00,-98.434
2001-10-03 00:00:00,-103.1352
2001-10-04 00:00:00,-54.069
2001-10-05 00:00:00,-45.1399
2001-10-08 00:00:00,-19.205
2001-10-09 00:00:00,-17.4937
2001-10-10 00:00:00,62.3871
2001-10-11 00:00:00,175.828
2001-10-12 00:00:00,190.6775
2001-10-15 00:00:00,200.8545
2001-10-16 00:00:00,162.5442
2001-10-17 00:00:00,102.083
2001-10-18 00:00:00,114.1604
2001-10-19 00:00:00,120.9278
2001-10-22 00:00:00,132.5306
2001-10-23 00:00:00,102.4305
2001-10-24 00:00:00,97.7614
2001-10-25 00:00:00,102.3027
2001-10-26 00:00:00,93.1931
2001-10-29 00:00:00,39.1657
2001-10-30 00:00:00,8.0922
2001-10-31 00:00:00,18.4294
2001-11-01 00:00:00,46.7982
2001-11-02 00:00:00,73.2804
2001-11-05 00:00:00,116.3444
2001-11-06 00:00:00,140.8748
2001-11-07 00:00:00,177.2125
2001-11-08 00:00:00,87.0726
2001-11-09 00:00:00,52.7952
2001-11-12 00:00:00,21.3562
2001-11-13 00:00:00,87.4432
2001-11-14 00:00:00,133.5276
2001-11-15 00:00:00,118.3325
2001-11-16 00:00:00,20.227
2001-11-19 00:00:00,123.8987
2001-11-20 00:00:00,121.0177
2001-11-21 00:00:00,88.0353
2001-11-23 00:00:00,101.9182
2001-11-26 00:00:00,200.286
2001-11-27 00:00:00,182.1792
2001-11-28 00:00:00,138.7667
2001-11-29 00:00:00,102.3297
2001-11-30 00:00:00,146.315
2001-12-03 00:00:00,124.447
2001-12-04 00:00:00,174.5962
2001-12-05 00:00:00,228.8152
2001-12-06 00:00:00,159.0853
2001-12-07 00:00:00,118.7742
2001-12-10 00:00:00,114.9378
2001-12-11 00:00:00,78.216
2001-12-12 00:00:00,40.2634
2001-12-13 00:00:00,1.3264
2001-12-14 00:00:00,-43.1274
2001-12-17 00:00:00,-39.9372
2001-12-18 00:00:00,-26.6901
2001-12-19 00:00:00,-0.5821
2001-12-20 00:00:00,-37.2007
2001-12-21 00:00:00,-27.4224
2001-12-24 00:00:00,-17.225
2001-12-26 00:00:00,19.6668
2001-12-27 00:00:00,45.6476
2001-12-28 00:00:00,84.8749
2001-12-31 00:00:00,46.3511
2002-01-02 00:00:00,105.0772
2002-01-03 00:00:00,133.1454
2002-01-04 00:00:00,145.3898
2002-01-07 00:00:00,112.7404
2002-01-08 00:00:00,67.8123
2002-01-09 00:00:00,9.1103
2002-01-10 00:00:00,-66.3559
2002-01-11 00:00:00,-49.1061
2002-01-14 00:00:00,-51.0923
2002-01-15 00:00:00,-24.0494
2002-01-16 00:00:00,-83.9598
2002-01-17 00:00:00,39.9818
2002-01-18 00:00:00,25.2367
2002-01-22 00:00:00,-2.4613
2002-01-23 00:00:00,46.6184
2002-01-24 00:00:00,102.9344
2002-01-25 00:00:00,83.871
2002-01-28 00:00:00,81.8431
2002-01-29 00:00:00,72.6377
2002-01-30 00:00:00,110.558
2002-01-31 00:00:00,157.0221
