date,ROCR
2002-03-08 00:00:00,1.0148
2002-03-11 00:00:00,1.0429
2002-03-12 00:00:00,0.9896
2002-03-13 00:00:00,0.9911
2002-03-14 00:00:00,0.9768
2002-03-15 00:00:00,1.0142
2002-03-18 00:00:00,1.0351
2002-03-19 00:00:00,1.0986
2002-03-20 00:00:00,1.0774
2002-03-21 00:00:00,1.1288
2002-03-22 00:00:00,1.0594
2002-03-25 00:00:00,0.9807
2002-03-26 00:00:00,0.9911
2002-03-27 00:00:00,1.0688
2002-03-28 00:00:00,1.0908
2002-04-01 00:00:00,1.0431
2002-04-02 00:00:00,0.9909
2002-04-03 00:00:00,1.0093
2002-04-04 00:00:00,1.0345
2002-04-05 00:00:00,1.0148
2002-04-08 00:00:00,0.9959
2002-04-09 00:00:00,0.9617
2002-04-10 00:00:00,0.9976
2002-04-11 00:00:00,1.0151
2002-04-12 00:00:00,1.0258
2002-04-15 00:00:00,1.002
2002-04-16 00:00:00,1.0404
2002-04-17 00:00:00,1.0507
2002-04-18 00:00:00,1.0197
2002-04-19 00:00:00,1.0293
2002-04-22 00:00:00,1.0183
2002-04-23 00:00:00,1.0385
2002-04-24 00:00:00,1.0132
2002-04-25 00:00:00,1.0277
2002-04-26 00:00:00,0.9721
2002-04-29 00:00:00,0.9796
2002-04-30 00:00:00,1.0083
2002-05-01 00:00:00,1.0097
2002-05-02 00:00:00,0.9514
2002-05-03 00:00:00,0.9503
2002-05-06 00:00:00,0.9222
2002-05-07 00:00:00,0.9324
2002-05-08 00:00:00,0.9882
2002-05-09 00:00:00,0.973
2002-05-10 00:00:00,0.9306
2002-05-13 00:00:00,0.9576
2002-05-14 00:00:00,0.9949
2002-05-15 00:00:00,0.9682
2002-05-16 00:00:00,0.9921
2002-05-17 00:00:00,1.0012
2002-05-20 00:00:00,1.0086
2002-05-21 00:00:00,0.9674
2002-05-22 00:00:00,1.0231
2002-05-23 00:00:00,1.0439
2002-05-24 00:00:00,1.0495
2002-05-28 00:00:00,1.0008
2002-05-29 00:00:00,0.9881
2002-05-30 00:00:00,1.0092
2002-05-31 00:00:00,0.9835
2002-06-03 00:00:00,0.9745
2002-06-04 00:00:00,1.0057
2002-06-05 00:00:00,1.0111
2002-06-06 00:00:00,0.9093
2002-06-07 00:00:00,0.8847
2002-06-10 00:00:00,0.9211
2002-06-11 00:00:00,0.8546
2002-06-12 00:00:00,0.7845
2002-06-13 00:00:00,0.7729
2002-06-14 00:00:00,0.7973
2002-06-17 00:00:00,0.8213
2002-06-18 00:00:00,0.8145
2002-06-19 00:00:00,0.7298
2002-06-20 00:00:00,0.7035
2002-06-21 00:00:00,0.6692
2002-06-24 00:00:00,0.7151
2002-06-25 00:00:00,0.7148
2002-06-26 00:00:00,0.6902
2002-06-27 00:00:00,0.705
2002-06-28 00:00:00,0.7605
2002-07-01 00:00:00,0.7447
2002-07-02 00:00:00,0.7436
2002-07-03 00:00:00,0.7724
2002-07-05 00:00:00,0.8457
2002-07-08 00:00:00,0.8416
2002-07-09 00:00:00,0.8161
2002-07-10 00:00:00,0.8465
2002-07-11 00:00:00,0.9109
2002-07-12 00:00:00,0.8956
2002-07-15 00:00:00,0.907
2002-07-16 00:00:00,0.8695
2002-07-17 00:00:00,0.7757
2002-07-18 00:00:00,0.8756
2002-07-19 00:00:00,0.8743
2002-07-22 00:00:00,0.8855
2002-07-23 00:00:00,0.8379
2002-07-24 00:00:00,0.8868
2002-07-25 00:00:00,0.8677
2002-07-26 00:00:00,0.8406
2002-07-29 00:00:00,0.8476
