date,TRIMA
2001-02-27 00:00:00,19.756
2001-02-28 00:00:00,19.6083
2001-03-01 00:00:00,19.4776
2001-03-02 00:00:00,19.3589
2001-03-05 00:00:00,19.2623
2001-03-06 00:00:00,19.2094
2001-03-07 00:00:00,19.1952
2001-03-08 00:00:00,19.2196
2001-03-09 00:00:00,19.2748
2001-03-12 00:00:00,19.3396
2001-03-13 00:00:00,19.4027
2001-03-14 00:00:00,19.4886
2001-03-15 00:00:00,19.591
2001-03-16 00:00:00,19.7035
2001-03-19 00:00:00,19.8252
2001-03-20 00:00:00,19.9179
2001-03-21 00:00:00,19.9714
2001-03-22 00:00:00,20.0105
2001-03-23 00:00:00,20.0565
2001-03-26 00:00:00,20.1182
2001-03-27 00:00:00,20.2179
2001-03-28 00:00:00,20.3316
2001-03-29 00:00:00,20.4513
2001-03-30 00:00:00,20.5846
2001-04-02 00:00:00,20.724
2001-04-03 00:00:00,20.8666
2001-04-04 00:00:00,21.0201
2001-04-05 00:00:00,21.177
2001-04-06 00:00:00,21.3046
2001-04-09 00:00:00,21.396
2001-04-10 00:00:00,21.4511
2001-04-11 00:00:00,21.4727
2001-04-12 00:00:00,21.4776
2001-04-16 00:00:00,21.451
2001-04-17 00:00:00,21.3913
2001-04-18 00:00:00,21.3454
2001-04-19 00:00:00,21.351
2001-04-20 00:00:00,21.4002
2001-04-23 00:00:00,21.4895
2001-04-24 00:00:00,21.6324
2001-04-25 00:00:00,21.8109
2001-04-26 00:00:00,22.0233
2001-04-27 00:00:00,22.2734
2001-04-30 00:00:00,22.5613
2001-05-01 00:00:00,22.9052
2001-05-02 00:00:00,23.2945
2001-05-03 00:00:00,23.6536
2001-05-04 00:00:00,23.9627
2001-05-07 00:00:00,24.2404
2001-05-08 00:00:00,24.4896
2001-05-09 00:00:00,24.7005
2001-05-10 00:00:00,24.8715
2001-05-11 00:00:00,24.9859
2001-05-14 00:00:00,25.0459
2001-05-15 00:00:00,25.0441
2001-05-16 00:00:00,24.9694
2001-05-17 00:00:00,24.8473
2001-05-18 00:00:00,24.7119
2001-05-21 00:00:00,24.5574
2001-05-22 00:00:00,24.3866
2001-05-23 00:00:00,24.2042
2001-05-24 00:00:00,24.0303
