date,RSI
2001-03-13 00:00:00,50.3682
2001-03-14 00:00:00,53.5694
2001-03-15 00:00:00,50.6392
2001-03-16 00:00:00,50.3685
2001-03-19 00:00:00,53.855
2001-03-20 00:00:00,50.4054
2001-03-21 00:00:00,52.0048
2001-03-22 00:00:00,57.0868
2001-03-23 00:00:00,61.0779
2001-03-26 00:00:00,56.2127
2001-03-27 00:00:00,59.2643
2001-03-28 00:00:00,56.5979
2001-03-29 00:00:00,57.6299
2001-03-30 00:00:00,55.844
2001-04-02 00:00:00,54.0056
2001-04-03 00:00:00,49.2098
2001-04-04 00:00:00,46.8112
2001-04-05 00:00:00,51.4252
2001-04-06 00:00:00,50.483
2001-04-09 00:00:00,50.3098
2001-04-10 00:00:00,55.1685
2001-04-11 00:00:00,54.2747
2001-04-12 00:00:00,56.2041
2001-04-16 00:00:00,52.517
2001-04-17 00:00:00,48.9311
2001-04-18 00:00:00,56.1705
2001-04-19 00:00:00,62.9484
2001-04-20 00:00:00,60.6569
2001-04-23 00:00:00,58.0716
2001-04-24 00:00:00,57.355
2001-04-25 00:00:00,59.0243
2001-04-26 00:00:00,58.9188
2001-04-27 00:00:00,62.4742
2001-04-30 00:00:00,59.908
2001-05-01 00:00:00,60.9543
2001-05-02 00:00:00,62.4995
2001-05-03 00:00:00,56.6693
2001-05-04 00:00:00,58.6378
2001-05-07 00:00:00,55.9617
2001-05-08 00:00:00,54.6653
2001-05-09 00:00:00,52.7204
2001-05-10 00:00:00,49.6329
2001-05-11 00:00:00,49.169
2001-05-14 00:00:00,50.5949
2001-05-15 00:00:00,50.2241
2001-05-16 00:00:00,53.2408
2001-05-17 00:00:00,51.2849
2001-05-18 00:00:00,51.2129
2001-05-21 00:00:00,51.3208
2001-05-22 00:00:00,51.0829
2001-05-23 00:00:00,49.9853
2001-05-24 00:00:00,49.8599
2001-05-25 00:00:00,48.0021
2001-05-29 00:00:00,43.0516
2001-05-30 00:00:00,37.6911
2001-05-31 00:00:00,38.5019
2001-06-01 00:00:00,42.8318
2001-06-04 00:00:00,42.0689
2001-06-05 00:00:00,43.3616
2001-06-06 00:00:00,42.611
2001-06-07 00:00:00,46.8965
2001-06-08 00:00:00,45.5865
2001-06-11 00:00:00,41.0429
2001-06-12 00:00:00,42.3194
2001-06-13 00:00:00,43.0881
2001-06-14 00:00:00,40.969
2001-06-15 00:00:00,43.7337
2001-06-18 00:00:00,43.3143
2001-06-19 00:00:00,42.7648
2001-06-20 00:00:00,49.8452
2001-06-21 00:00:00,53.2202
2001-06-22 00:00:00,52.1834
2001-06-25 00:00:00,58.5733
2001-06-26 00:00:00,57.4521
2001-06-27 00:00:00,55.5404
2001-06-28 00:00:00,56.2873
2001-06-29 00:00:00,54.8802
2001-07-02 00:00:00,57.3932
2001-07-03 00:00:00,57.0843
2001-07-05 00:00:00,53.783
2001-07-06 00:00:00,48.5126
2001-07-09 00:00:00,51.4077
2001-07-10 00:00:00,45.1812
2001-07-11 00:00:00,50.8095
2001-07-12 00:00:00,56.8692
2001-07-13 00:00:00,58.3242
2001-07-16 00:00:00,54.7904
2001-07-17 00:00:00,58.2047
2001-07-18 00:00:00,44.7536
2001-07-19 00:00:00,42.7509
2001-07-20 00:00:00,42.8158
2001-07-23 00:00:00,41.7204
2001-07-24 00:00:00,40.6021
2001-07-25 00:00:00,39.0827
2001-07-26 00:00:00,39.5437
2001-07-27 00:00:00,40.9927
2001-07-30 00:00:00,40.909
2001-07-31 00:00:00,40.5028
2001-08-01 00:00:00,41.6783
2001-08-02 00:00:00,44.9037
2001-08-03 00:00:00,43.8294
2001-08-06 00:00:00,42.5893
2001-08-07 00:00:00,43.1385
2001-08-08 00:00:00,41.9076
2001-08-09 00:00:00,42.6459
2001-08-10 00:00:00,42.5321
2001-08-13 00:00:00,42.9063
2001-08-14 00:00:00,41.4453
2001-08-15 00:00:00,40.2822
2001-08-16 00:00:00,41.5329
2001-08-17 00:00:00,39.1492
2001-08-20 00:00:00,39.4645
2001-08-21 00:00:00,38.6219
2001-08-22 00:00:00,40.5589
2001-08-23 00:00:00,38.782
2001-08-24 00:00:00,43.7139
2001-08-27 00:00:00,45.8294
2001-08-28 00:00:00,43.2851
2001-08-29 00:00:00,40.6792
2001-08-30 00:00:00,40.6792
2001-08-31 00:00:00,45.2892
2001-09-04 00:00:00,43.7964
2001-09-05 00:00:00,45.681
2001-09-06 00:00:00,41.6169
2001-09-07 00:00:00,39.6485
2001-09-10 00:00:00,40.2569
2001-09-17 00:00:00,38.5306
2001-09-18 00:00:00,35.5336
2001-09-19 00:00:00,40.6023
2001-09-20 00:00:00,35.3104
2001-09-21 00:00:00,35.6399
2001-09-24 00:00:00,40.2525
2001-09-25 00:00:00,36.7485
2001-09-26 00:00:00,35.36
2001-09-27 00:00:00,37.6492
2001-09-28 00:00:00,37.6492
2001-10-01 00:00:00,37.8524
2001-10-02 00:00:00,35.8438
2001-10-03 00:00:00,35.56
2001-10-04 00:00:00,41.7961
2001-10-05 00:00:00,43.4599
2001-10-08 00:00:00,43.8499
2001-10-09 00:00:00,42.8139
2001-10-10 00:00:00,48.1053
2001-10-11 00:00:00,53.2175
2001-10-12 00:00:00,54.5992
2001-10-15 00:00:00,54.4738
2001-10-16 00:00:00,54.5836
2001-10-17 00:00:00,48.3246
2001-10-18 00:00:00,53.8415
2001-10-19 00:00:00,55.3325
2001-10-22 00:00:00,58.7025
2001-10-23 00:00:00,53.5086
2001-10-24 00:00:00,57.1795
2001-10-25 00:00:00,58.2086
2001-10-26 00:00:00,55.1837
2001-10-29 00:00:00,49.7418
2001-10-30 00:00:00,49.5933
2001-10-31 00:00:00,49.3863
2001-11-01 00:00:00,54.5291
2001-11-02 00:00:00,54.4161
