date,HT_TRENDLINE
2001-04-27 00:00:00,22.6474
2001-04-30 00:00:00,22.8906
2001-05-01 00:00:00,23.0955
2001-05-02 00:00:00,23.2837
2001-05-03 00:00:00,23.4123
2001-05-04 00:00:00,23.5278
2001-05-07 00:00:00,23.6163
2001-05-08 00:00:00,23.6784
2001-05-09 00:00:00,23.7666
2001-05-10 00:00:00,23.8064
2001-05-11 00:00:00,23.8108
2001-05-14 00:00:00,23.7977
2001-05-15 00:00:00,23.7717
2001-05-16 00:00:00,23.8094
2001-05-17 00:00:00,23.8374
2001-05-18 00:00:00,23.929
2001-05-21 00:00:00,24.0193
2001-05-22 00:00:00,24.131
2001-05-23 00:00:00,24.2739
2001-05-24 00:00:00,24.3086
2001-05-25 00:00:00,24.2934
2001-05-29 00:00:00,24.2129
2001-05-30 00:00:00,24.0623
2001-05-31 00:00:00,23.8228
2001-06-01 00:00:00,23.5055
2001-06-04 00:00:00,23.2152
2001-06-05 00:00:00,22.9044
2001-06-06 00:00:00,22.6456
2001-06-07 00:00:00,22.4379
2001-06-08 00:00:00,22.2872
2001-06-11 00:00:00,22.1448
2001-06-12 00:00:00,22.0016
2001-06-13 00:00:00,21.7956
2001-06-14 00:00:00,21.5784
2001-06-15 00:00:00,21.3739
2001-06-18 00:00:00,21.1813
2001-06-19 00:00:00,21.0059
2001-06-20 00:00:00,20.8687
2001-06-21 00:00:00,20.7858
2001-06-22 00:00:00,20.765
2001-06-25 00:00:00,20.8602
2001-06-26 00:00:00,21.03
2001-06-27 00:00:00,21.2134
2001-06-28 00:00:00,21.3914
2001-06-29 00:00:00,21.5512
2001-07-02 00:00:00,21.6908
2001-07-03 00:00:00,21.8209
2001-07-05 00:00:00,21.938
2001-07-06 00:00:00,22.0498
2001-07-09 00:00:00,22.169
2001-07-10 00:00:00,22.2562
2001-07-11 00:00:00,22.3094
2001-07-12 00:00:00,22.4278
2001-07-13 00:00:00,22.5973
2001-07-16 00:00:00,22.7916
2001-07-17 00:00:00,22.961
2001-07-18 00:00:00,23.0659
2001-07-19 00:00:00,23.0808
2001-07-20 00:00:00,23.0214
2001-07-23 00:00:00,22.9153
2001-07-24 00:00:00,22.7429
2001-07-25 00:00:00,22.524
2001-07-26 00:00:00,22.2556
2001-07-27 00:00:00,22.0234
2001-07-30 00:00:00,21.8023
2001-07-31 00:00:00,21.5736
2001-08-01 00:00:00,21.2992
2001-08-02 00:00:00,21.0347
2001-08-03 00:00:00,20.8376
2001-08-06 00:00:00,20.6561
2001-08-07 00:00:00,20.4457
2001-08-08 00:00:00,20.1813
2001-08-09 00:00:00,19.8973
2001-08-10 00:00:00,19.5859
2001-08-13 00:00:00,19.3592
2001-08-14 00:00:00,19.2087
2001-08-15 00:00:00,19.1215
2001-08-16 00:00:00,19.0599
2001-08-17 00:00:00,18.9941
2001-08-20 00:00:00,18.9329
2001-08-21 00:00:00,18.8836
2001-08-22 00:00:00,18.8489
2001-08-23 00:00:00,18.8078
2001-08-24 00:00:00,18.7752
2001-08-27 00:00:00,18.7582
2001-08-28 00:00:00,18.7365
2001-08-29 00:00:00,18.7078
2001-08-30 00:00:00,18.6485
2001-08-31 00:00:00,18.5873
2001-09-04 00:00:00,18.5311
2001-09-05 00:00:00,18.4844
2001-09-06 00:00:00,18.4466
2001-09-07 00:00:00,18.394
2001-09-10 00:00:00,18.3284
2001-09-17 00:00:00,18.2282
2001-09-18 00:00:00,18.1125
2001-09-19 00:00:00,17.9952
2001-09-20 00:00:00,17.8732
2001-09-21 00:00:00,17.7609
2001-09-24 00:00:00,17.6715
2001-09-25 00:00:00,17.5842
2001-09-26 00:00:00,17.4806
2001-09-27 00:00:00,17.3719
2001-09-28 00:00:00,17.2536
2001-10-01 00:00:00,17.1401
2001-10-02 00:00:00,17.0392
2001-10-03 00:00:00,16.9478
2001-10-04 00:00:00,16.8799
2001-10-05 00:00:00,16.8043
2001-10-08 00:00:00,16.751
2001-10-09 00:00:00,16.7111
2001-10-10 00:00:00,16.6915
2001-10-11 00:00:00,16.7003
2001-10-12 00:00:00,16.6971
2001-10-15 00:00:00,16.7128
2001-10-16 00:00:00,16.7664
2001-10-17 00:00:00,16.8062
2001-10-18 00:00:00,16.8224
2001-10-19 00:00:00,16.8246
2001-10-22 00:00:00,16.833
2001-10-23 00:00:00,16.8442
2001-10-24 00:00:00,16.8415
2001-10-25 00:00:00,16.8345
2001-10-26 00:00:00,16.8499
2001-10-29 00:00:00,16.8669
2001-10-30 00:00:00,16.8838
2001-10-31 00:00:00,16.9093
2001-11-01 00:00:00,16.9435
2001-11-02 00:00:00,17.0224
2001-11-05 00:00:00,17.1358
2001-11-06 00:00:00,17.2427
2001-11-07 00:00:00,17.3375
2001-11-08 00:00:00,17.4051
2001-11-09 00:00:00,17.5105
2001-11-12 00:00:00,17.6209
2001-11-13 00:00:00,17.8199
2001-11-14 00:00:00,18.0353
2001-11-15 00:00:00,18.252
2001-11-16 00:00:00,18.4389
2001-11-19 00:00:00,18.5833
2001-11-20 00:00:00,18.7194
2001-11-21 00:00:00,18.8188
2001-11-23 00:00:00,18.9053
2001-11-26 00:00:00,18.9957
2001-11-27 00:00:00,19.124
2001-11-28 00:00:00,19.2683
2001-11-29 00:00:00,19.4384
2001-11-30 00:00:00,19.6024
2001-12-03 00:00:00,19.7407
2001-12-04 00:00:00,19.8797
2001-12-05 00:00:00,20.0474
2001-12-06 00:00:00,20.2392
2001-12-07 00:00:00,20.404
2001-12-10 00:00:00,20.5381
2001-12-11 00:00:00,20.6294
2001-12-12 00:00:00,20.6879
2001-12-13 00:00:00,20.7957
2001-12-14 00:00:00,20.8567
2001-12-17 00:00:00,20.8872
2001-12-18 00:00:00,20.9257
2001-12-19 00:00:00,20.975
2001-12-20 00:00:00,21.033
2001-12-21 00:00:00,21.1056
2001-12-24 00:00:00,21.2019
2001-12-26 00:00:00,21.3228
2001-12-27 00:00:00,21.4243
2001-12-28 00:00:00,21.5199
2001-12-31 00:00:00,21.6088
2002-01-02 00:00:00,21.6917
2002-01-03 00:00:00,21.7392
2002-01-04 00:00:00,21.7807
2002-01-07 00:00:00,21.7932
2002-01-08 00:00:00,21.8142
2002-01-09 00:00:00,21.8323
2002-01-10 00:00:00,21.8473
2002-01-11 00:00:00,21.8722
2002-01-14 00:00:00,21.8984
2002-01-15 00:00:00,21.9312
2002-01-16 00:00:00,21.9336
2002-01-17 00:00:00,21.9704
2002-01-18 00:00:00,22.0211
2002-01-22 00:00:00,22.0662
2002-01-23 00:00:00,22.1309
2002-01-24 00:00:00,22.1934
2002-01-25 00:00:00,22.2597
2002-01-28 00:00:00,22.301
2002-01-29 00:00:00,22.3087
2002-01-30 00:00:00,22.3012
2002-01-31 00:00:00,22.3439
2002-02-01 00:00:00,22.447
2002-02-04 00:00:00,22.6268
2002-02-05 00:00:00,22.8618
2002-02-06 00:00:00,23.101
2002-02-07 00:00:00,23.2703
2002-02-08 00:00:00,23.3728
2002-02-11 00:00:00,23.4492
2002-02-12 00:00:00,23.5102
2002-02-13 00:00:00,23.5753
2002-02-14 00:00:00,23.6333
2002-02-15 00:00:00,23.6697
2002-02-19 00:00:00,23.6301
2002-02-20 00:00:00,23.5864
2002-02-21 00:00:00,23.5589
2002-02-22 00:00:00,23.6062
2002-02-25 00:00:00,23.6547
2002-02-26 00:00:00,23.706
2002-02-27 00:00:00,23.7634
2002-02-28 00:00:00,23.7725
2002-03-01 00:00:00,23.7788
2002-03-04 00:00:00,23.8038
2002-03-05 00:00:00,23.8274
2002-03-06 00:00:00,23.8466
2002-03-07 00:00:00,23.851
2002-03-08 00:00:00,23.8527
2002-03-11 00:00:00,23.8201
2002-03-12 00:00:00,23.797
2002-03-13 00:00:00,23.7856
2002-03-14 00:00:00,23.7873
2002-03-15 00:00:00,23.7939
2002-03-18 00:00:00,23.7763
2002-03-19 00:00:00,23.7662
2002-03-20 00:00:00,23.7999
2002-03-21 00:00:00,23.8493
2002-03-22 00:00:00,23.9366
2002-03-25 00:00:00,24.0063
2002-03-26 00:00:00,24.0385
2002-03-27 00:00:00,24.0478
2002-03-28 00:00:00,24.0771
2002-04-01 00:00:00,24.1041
2002-04-02 00:00:00,24.1229
2002-04-03 00:00:00,24.1268
2002-04-04 00:00:00,24.1355
2002-04-05 00:00:00,24.2037
2002-04-08 00:00:00,24.2596
2002-04-09 00:00:00,24.3115
2002-04-10 00:00:00,24.3448
2002-04-11 00:00:00,24.3477
2002-04-12 00:00:00,24.3531
2002-04-15 00:00:00,24.3628
2002-04-16 00:00:00,24.3784
2002-04-17 00:00:00,24.4061
2002-04-18 00:00:00,24.4481
2002-04-19 00:00:00,24.4947
2002-04-22 00:00:00,24.5495
2002-04-23 00:00:00,24.6002
2002-04-24 00:00:00,24.6361
2002-04-25 00:00:00,24.6648
2002-04-26 00:00:00,24.6487
2002-04-29 00:00:00,24.6298
2002-04-30 00:00:00,24.6084
2002-05-01 00:00:00,24.5992
2002-05-02 00:00:00,24.5745
2002-05-03 00:00:00,24.5307
2002-05-06 00:00:00,24.4695
2002-05-07 00:00:00,24.3684
2002-05-08 00:00:00,24.2871
2002-05-09 00:00:00,24.2205
2002-05-10 00:00:00,24.1308
2002-05-13 00:00:00,24.0294
2002-05-14 00:00:00,23.9976
2002-05-15 00:00:00,23.9841
2002-05-16 00:00:00,23.9927
2002-05-17 00:00:00,24.024
2002-05-20 00:00:00,24.0538
2002-05-21 00:00:00,24.0544
2002-05-22 00:00:00,24.0574
