date,WMA
2001-10-23 00:00:00,17.3882
2001-10-24 00:00:00,17.5979
2001-10-25 00:00:00,17.8122
2001-10-26 00:00:00,17.9596
2001-10-29 00:00:00,17.9928
2001-10-30 00:00:00,18.0132
2001-10-31 00:00:00,18.0177
2001-11-01 00:00:00,18.108
2001-11-02 00:00:00,18.1835
2001-11-05 00:00:00,18.295
2001-11-06 00:00:00,18.4405
2001-11-07 00:00:00,18.5709
2001-11-08 00:00:00,18.6042
2001-11-09 00:00:00,18.633
2001-11-12 00:00:00,18.6622
2001-11-13 00:00:00,18.7469
2001-11-14 00:00:00,18.848
2001-11-15 00:00:00,18.9213
2001-11-16 00:00:00,18.942
2001-11-19 00:00:00,19.0576
2001-11-20 00:00:00,19.1238
2001-11-21 00:00:00,19.1977
2001-11-23 00:00:00,19.2833
2001-11-26 00:00:00,19.5115
2001-11-27 00:00:00,19.6917
2001-11-28 00:00:00,19.811
2001-11-29 00:00:00,19.9059
2001-11-30 00:00:00,20.071
2001-12-03 00:00:00,20.1994
2001-12-04 00:00:00,20.4445
2001-12-05 00:00:00,20.8033
2001-12-06 00:00:00,21.0489
2001-12-07 00:00:00,21.2563
2001-12-10 00:00:00,21.4456
2001-12-11 00:00:00,21.5442
2001-12-12 00:00:00,21.6008
2001-12-13 00:00:00,21.6006
2001-12-14 00:00:00,21.5357
2001-12-17 00:00:00,21.4882
2001-12-18 00:00:00,21.47
2001-12-19 00:00:00,21.5051
2001-12-20 00:00:00,21.4398
2001-12-21 00:00:00,21.4011
2001-12-24 00:00:00,21.3913
2001-12-26 00:00:00,21.3939
2001-12-27 00:00:00,21.4493
2001-12-28 00:00:00,21.5318
2001-12-31 00:00:00,21.5541
2002-01-02 00:00:00,21.707
2002-01-03 00:00:00,21.8758
2002-01-04 00:00:00,22.0495
2002-01-07 00:00:00,22.1482
2002-01-08 00:00:00,22.2188
2002-01-09 00:00:00,22.1976
2002-01-10 00:00:00,22.1407
2002-01-11 00:00:00,22.0692
2002-01-14 00:00:00,22.0093
2002-01-15 00:00:00,22.0011
2002-01-16 00:00:00,21.8991
2002-01-17 00:00:00,21.9582
2002-01-18 00:00:00,21.9808
2002-01-22 00:00:00,21.9674
2002-01-23 00:00:00,22.0628
2002-01-24 00:00:00,22.1667
2002-01-25 00:00:00,22.2656
2002-01-28 00:00:00,22.358
2002-01-29 00:00:00,22.4257
2002-01-30 00:00:00,22.5875
2002-01-31 00:00:00,22.7988
2002-02-01 00:00:00,22.9739
2002-02-04 00:00:00,23.2345
2002-02-05 00:00:00,23.4967
2002-02-06 00:00:00,23.6725
2002-02-07 00:00:00,23.8033
2002-02-08 00:00:00,23.8957
2002-02-11 00:00:00,24.0653
2002-02-12 00:00:00,24.1904
2002-02-13 00:00:00,24.3272
2002-02-14 00:00:00,24.4091
2002-02-15 00:00:00,24.4062
2002-02-19 00:00:00,24.2747
2002-02-20 00:00:00,24.1895
2002-02-21 00:00:00,23.9429
2002-02-22 00:00:00,23.8216
2002-02-25 00:00:00,23.8045
2002-02-26 00:00:00,23.7713
2002-02-27 00:00:00,23.5734
2002-02-28 00:00:00,23.356
2002-03-01 00:00:00,23.3167
2002-03-04 00:00:00,23.3634
2002-03-05 00:00:00,23.3383
2002-03-06 00:00:00,23.3733
2002-03-07 00:00:00,23.4444
2002-03-08 00:00:00,23.5436
2002-03-11 00:00:00,23.6791
2002-03-12 00:00:00,23.7773
2002-03-13 00:00:00,23.8549
2002-03-14 00:00:00,23.9278
2002-03-15 00:00:00,24.053
2002-03-18 00:00:00,24.1565
2002-03-19 00:00:00,24.2665
2002-03-20 00:00:00,24.3726
2002-03-21 00:00:00,24.4082
2002-03-22 00:00:00,24.4135
2002-03-25 00:00:00,24.3419
2002-03-26 00:00:00,24.2829
2002-03-27 00:00:00,24.2259
2002-03-28 00:00:00,24.1808
2002-04-01 00:00:00,24.2015
2002-04-02 00:00:00,24.1802
2002-04-03 00:00:00,24.1296
2002-04-04 00:00:00,24.1874
2002-04-05 00:00:00,24.226
2002-04-08 00:00:00,24.2458
2002-04-09 00:00:00,24.2222
2002-04-10 00:00:00,24.2565
2002-04-11 00:00:00,24.3102
2002-04-12 00:00:00,24.3811
2002-04-15 00:00:00,24.4434
2002-04-16 00:00:00,24.5759
2002-04-17 00:00:00,24.7388
2002-04-18 00:00:00,24.8291
2002-04-19 00:00:00,24.8761
2002-04-22 00:00:00,24.8769
2002-04-23 00:00:00,24.8489
2002-04-24 00:00:00,24.7709
2002-04-25 00:00:00,24.7247
2002-04-26 00:00:00,24.5698
2002-04-29 00:00:00,24.5084
2002-04-30 00:00:00,24.479
2002-05-01 00:00:00,24.421
2002-05-02 00:00:00,24.3343
2002-05-03 00:00:00,24.2362
2002-05-06 00:00:00,24.062
2002-05-07 00:00:00,23.8799
2002-05-08 00:00:00,23.8864
2002-05-09 00:00:00,23.8771
2002-05-10 00:00:00,23.7882
2002-05-13 00:00:00,23.7667
2002-05-14 00:00:00,23.9092
2002-05-15 00:00:00,24.0209
2002-05-16 00:00:00,24.1299
2002-05-17 00:00:00,24.2208
2002-05-20 00:00:00,24.2859
2002-05-21 00:00:00,24.228
2002-05-22 00:00:00,24.2558
2002-05-23 00:00:00,24.3629
2002-05-24 00:00:00,24.3669
2002-05-28 00:00:00,24.3492
2002-05-29 00:00:00,24.3314
2002-05-30 00:00:00,24.336
2002-05-31 00:00:00,24.2538
2002-06-03 00:00:00,24.1363
2002-06-04 00:00:00,24.0093
2002-06-05 00:00:00,23.876
2002-06-06 00:00:00,23.6881
2002-06-07 00:00:00,23.4384
2002-06-10 00:00:00,23.2096
2002-06-11 00:00:00,22.8924
2002-06-12 00:00:00,22.5566
2002-06-13 00:00:00,22.1946
2002-06-14 00:00:00,21.9133
2002-06-17 00:00:00,21.6983
