date,DEMA
2001-08-03 00:00:00,19.1791
2001-08-06 00:00:00,19.0716
2001-08-07 00:00:00,19.006
2001-08-08 00:00:00,18.8909
2001-08-09 00:00:00,18.824
2001-08-10 00:00:00,18.7659
2001-08-13 00:00:00,18.7333
2001-08-14 00:00:00,18.6445
2001-08-15 00:00:00,18.52
2001-08-16 00:00:00,18.4555
2001-08-17 00:00:00,18.2992
2001-08-20 00:00:00,18.1783
2001-08-21 00:00:00,18.0425
2001-08-22 00:00:00,17.9828
2001-08-23 00:00:00,17.8635
2001-08-24 00:00:00,17.9031
2001-08-27 00:00:00,18.0052
2001-08-28 00:00:00,18.0027
2001-08-29 00:00:00,17.9008
2001-08-30 00:00:00,17.8168
2001-08-31 00:00:00,17.8787
2001-09-04 00:00:00,17.8811
2001-09-05 00:00:00,17.9408
2001-09-06 00:00:00,17.8447
2001-09-07 00:00:00,17.685
2001-09-10 00:00:00,17.567
2001-09-17 00:00:00,17.3996
2001-09-18 00:00:00,17.1301
2001-09-19 00:00:00,17.036
2001-09-20 00:00:00,16.7158
2001-09-21 00:00:00,16.4533
2001-09-24 00:00:00,16.3625
2001-09-25 00:00:00,16.1239
2001-09-26 00:00:00,15.8525
2001-09-27 00:00:00,15.6893
2001-09-28 00:00:00,15.554
2001-10-01 00:00:00,15.4484
2001-10-02 00:00:00,15.2738
2001-10-03 00:00:00,15.1162
2001-10-04 00:00:00,15.1492
2001-10-05 00:00:00,15.23
2001-10-08 00:00:00,15.3153
2001-10-09 00:00:00,15.3569
2001-10-10 00:00:00,15.5455
2001-10-11 00:00:00,15.8783
2001-10-12 00:00:00,16.2167
2001-10-15 00:00:00,16.5063
2001-10-16 00:00:00,16.7604
2001-10-17 00:00:00,16.7948
2001-10-18 00:00:00,17.0079
2001-10-19 00:00:00,17.2457
2001-10-22 00:00:00,17.5806
2001-10-23 00:00:00,17.7082
2001-10-24 00:00:00,17.9635
2001-10-25 00:00:00,18.2249
2001-10-26 00:00:00,18.3533
2001-10-29 00:00:00,18.2727
2001-10-30 00:00:00,18.1954
2001-10-31 00:00:00,18.1195
2001-11-01 00:00:00,18.2391
2001-11-02 00:00:00,18.3366
2001-11-05 00:00:00,18.5092
2001-11-06 00:00:00,18.7463
2001-11-07 00:00:00,18.9515
2001-11-08 00:00:00,18.9656
2001-11-09 00:00:00,18.9748
2001-11-12 00:00:00,18.9872
2001-11-13 00:00:00,19.1077
2001-11-14 00:00:00,19.2523
2001-11-15 00:00:00,19.3448
2001-11-16 00:00:00,19.3344
2001-11-19 00:00:00,19.5095
2001-11-20 00:00:00,19.572
2001-11-21 00:00:00,19.65
2001-11-23 00:00:00,19.7431
2001-11-26 00:00:00,20.0978
2001-11-27 00:00:00,20.3325
2001-11-28 00:00:00,20.4455
2001-11-29 00:00:00,20.5187
2001-11-30 00:00:00,20.7375
2001-12-03 00:00:00,20.8763
2001-12-04 00:00:00,21.2364
2001-12-05 00:00:00,21.7884
2001-12-06 00:00:00,22.0804
2001-12-07 00:00:00,22.2822
2001-12-10 00:00:00,22.4498
2001-12-11 00:00:00,22.4499
2001-12-12 00:00:00,22.3913
2001-12-13 00:00:00,22.2463
2001-12-14 00:00:00,22.0056
2001-12-17 00:00:00,21.8357
2001-12-18 00:00:00,21.7563
2001-12-19 00:00:00,21.7952
2001-12-20 00:00:00,21.6531
2001-12-21 00:00:00,21.5877
2001-12-24 00:00:00,21.5942
2001-12-26 00:00:00,21.6209
2001-12-27 00:00:00,21.7469
2001-12-28 00:00:00,21.9182
2001-12-31 00:00:00,21.9669
2002-01-02 00:00:00,22.2602
2002-01-03 00:00:00,22.5605
2002-01-04 00:00:00,22.8355
2002-01-07 00:00:00,22.9251
2002-01-08 00:00:00,22.9455
2002-01-09 00:00:00,22.7851
2002-01-10 00:00:00,22.5673
2002-01-11 00:00:00,22.3442
2002-01-14 00:00:00,22.168
2002-01-15 00:00:00,22.1143
2002-01-16 00:00:00,21.8997
2002-01-17 00:00:00,22.0222
2002-01-18 00:00:00,22.0705
2002-01-22 00:00:00,22.0474
2002-01-23 00:00:00,22.2441
2002-01-24 00:00:00,22.4466
2002-01-25 00:00:00,22.6266
2002-01-28 00:00:00,22.7832
2002-01-29 00:00:00,22.8795
2002-01-30 00:00:00,23.1451
2002-01-31 00:00:00,23.4854
2002-02-01 00:00:00,23.719
2002-02-04 00:00:00,24.0869
2002-02-05 00:00:00,24.4177
2002-02-06 00:00:00,24.5564
2002-02-07 00:00:00,24.6038
2002-02-08 00:00:00,24.5908
2002-02-11 00:00:00,24.7475
2002-02-12 00:00:00,24.8289
2002-02-13 00:00:00,24.9489
2002-02-14 00:00:00,24.9732
2002-02-15 00:00:00,24.8628
2002-02-19 00:00:00,24.5315
2002-02-20 00:00:00,24.3355
2002-02-21 00:00:00,23.8684
2002-02-22 00:00:00,23.6895
2002-02-25 00:00:00,23.7285
2002-02-26 00:00:00,23.7358
2002-02-27 00:00:00,23.431
2002-02-28 00:00:00,23.121
2002-03-01 00:00:00,23.1717
2002-03-04 00:00:00,23.3682
2002-03-05 00:00:00,23.3995
2002-03-06 00:00:00,23.5243
2002-03-07 00:00:00,23.6876
2002-03-08 00:00:00,23.8784
2002-03-11 00:00:00,24.1142
2002-03-12 00:00:00,24.2542
2002-03-13 00:00:00,24.3312
2002-03-14 00:00:00,24.3849
2002-03-15 00:00:00,24.5235
2002-03-18 00:00:00,24.6028
2002-03-19 00:00:00,24.6889
2002-03-20 00:00:00,24.7735
2002-03-21 00:00:00,24.7262
2002-03-22 00:00:00,24.6507
2002-03-25 00:00:00,24.4495
2002-03-26 00:00:00,24.2949
2002-03-27 00:00:00,24.1625
2002-03-28 00:00:00,24.0841
2002-04-01 00:00:00,24.1595
2002-04-02 00:00:00,24.1532
2002-04-03 00:00:00,24.0893
2002-04-04 00:00:00,24.2425
2002-04-05 00:00:00,24.3448
2002-04-08 00:00:00,24.3995
2002-04-09 00:00:00,24.3623
2002-04-10 00:00:00,24.431
2002-04-11 00:00:00,24.5257
2002-04-12 00:00:00,24.6425
2002-04-15 00:00:00,24.731
2002-04-16 00:00:00,24.9401
2002-04-17 00:00:00,25.1856
2002-04-18 00:00:00,25.2681
2002-04-19 00:00:00,25.2588
2002-04-22 00:00:00,25.1671
2002-04-23 00:00:00,25.0354
2002-04-24 00:00:00,24.8334
2002-04-25 00:00:00,24.7219
2002-04-26 00:00:00,24.4239
2002-04-29 00:00:00,24.3394
2002-04-30 00:00:00,24.323
2002-05-01 00:00:00,24.2565
2002-05-02 00:00:00,24.1469
2002-05-03 00:00:00,24.0205
2002-05-06 00:00:00,23.7563
2002-05-07 00:00:00,23.4974
2002-05-08 00:00:00,23.6207
2002-05-09 00:00:00,23.6959
2002-05-10 00:00:00,23.6041
2002-05-13 00:00:00,23.6388
2002-05-14 00:00:00,23.9729
2002-05-15 00:00:00,24.2014
2002-05-16 00:00:00,24.3855
2002-05-17 00:00:00,24.5074
2002-05-20 00:00:00,24.5628
2002-05-21 00:00:00,24.3776
2002-05-22 00:00:00,24.3736
2002-05-23 00:00:00,24.5259
2002-05-24 00:00:00,24.4696
2002-05-28 00:00:00,24.3898
2002-05-29 00:00:00,24.3208
2002-05-30 00:00:00,24.3011
2002-05-31 00:00:00,24.1208
2002-06-03 00:00:00,23.895
2002-06-04 00:00:00,23.6776
2002-06-05 00:00:00,23.4807
2002-06-06 00:00:00,23.211
2002-06-07 00:00:00,22.8428
2002-06-10 00:00:00,22.5428
2002-06-11 00:00:00,22.1026
2002-06-12 00:00:00,21.6602
2002-06-13 00:00:00,21.1841
2002-06-14 00:00:00,20.881
2002-06-17 00:00:00,20.7056
2002-06-18 00:00:00,20.4898
2002-06-19 00:00:00,19.7604
2002-06-20 00:00:00,19.1375
2002-06-21 00:00:00,18.5621
2002-06-24 00:00:00,18.1518
2002-06-25 00:00:00,17.7842
2002-06-26 00:00:00,17.3705
2002-06-27 00:00:00,17.1169
2002-06-28 00:00:00,17.0286
2002-07-01 00:00:00,16.8428
2002-07-02 00:00:00,16.6709
2002-07-03 00:00:00,16.6433
2002-07-05 00:00:00,16.8448
2002-07-08 00:00:00,16.8945
2002-07-09 00:00:00,16.8582
2002-07-10 00:00:00,16.7965
2002-07-11 00:00:00,16.9285
2002-07-12 00:00:00,16.9039
2002-07-15 00:00:00,17.0216
2002-07-16 00:00:00,17.0618
2002-07-17 00:00:00,16.6974
2002-07-18 00:00:00,16.2733
2002-07-19 00:00:00,15.9091
2002-07-22 00:00:00,15.5951
2002-07-23 00:00:00,15.2502
2002-07-24 00:00:00,15.0933
2002-07-25 00:00:00,14.8135
2002-07-26 00:00:00,14.5766
2002-07-29 00:00:00,14.504
2002-07-30 00:00:00,14.5235
2002-07-31 00:00:00,14.517
2002-08-01 00:00:00,14.4349
2002-08-02 00:00:00,14.3075
2002-08-05 00:00:00,14.121
2002-08-06 00:00:00,14.1033
2002-08-07 00:00:00,14.1471
2002-08-08 00:00:00,14.24
