date,DX
2001-01-24 00:00:00,29.6519
2001-01-25 00:00:00,29.6519
2001-01-26 00:00:00,21.8847
2001-01-29 00:00:00,33.6489
2001-01-30 00:00:00,34.9773
2001-01-31 00:00:00,37.6069
2001-02-01 00:00:00,27.4099
2001-02-02 00:00:00,29.9669
2001-02-05 00:00:00,22.2408
2001-02-06 00:00:00,27.2769
2001-02-07 00:00:00,25.3211
2001-02-08 00:00:00,26.5098
2001-02-09 00:00:00,11.7303
2001-02-12 00:00:00,11.7303
2001-02-13 00:00:00,14.9593
2001-02-14 00:00:00,10.1398
2001-02-15 00:00:00,17.0239
2001-02-16 00:00:00,8.2912
2001-02-20 00:00:00,3.4501
2001-02-21 00:00:00,7.3431
2001-02-22 00:00:00,5.1124
2001-02-23 00:00:00,5.1124
2001-02-26 00:00:00,11.7755
2001-02-27 00:00:00,11.7755
2001-02-28 00:00:00,6.0403
2001-03-01 00:00:00,2.5475
2001-03-02 00:00:00,11.2077
2001-03-05 00:00:00,11.6506
2001-03-06 00:00:00,22.2624
2001-03-07 00:00:00,22.2624
2001-03-08 00:00:00,19.1123
2001-03-09 00:00:00,14.697
2001-03-12 00:00:00,1.6927
2001-03-13 00:00:00,1.6927
2001-03-14 00:00:00,5.7673
2001-03-15 00:00:00,12.0529
2001-03-16 00:00:00,5.0977
2001-03-19 00:00:00,7.3854
2001-03-20 00:00:00,9.7493
2001-03-21 00:00:00,6.8777
2001-03-22 00:00:00,13.4341
2001-03-23 00:00:00,24.8843
2001-03-26 00:00:00,17.0508
2001-03-27 00:00:00,17.0508
2001-03-28 00:00:00,13.4262
2001-03-29 00:00:00,19.6467
2001-03-30 00:00:00,18.1418
2001-04-02 00:00:00,18.1418
2001-04-03 00:00:00,6.3742
2001-04-04 00:00:00,4.5055
2001-04-05 00:00:00,11.0995
2001-04-06 00:00:00,10.3288
2001-04-09 00:00:00,12.2511
2001-04-10 00:00:00,20.3947
2001-04-11 00:00:00,22.074
2001-04-12 00:00:00,20.9105
2001-04-16 00:00:00,18.2639
2001-04-17 00:00:00,7.5018
2001-04-18 00:00:00,24.0691
2001-04-19 00:00:00,31.5756
