date,1. open,2. high,3. low,4. close,5. volume
2020-01-29 13:56:00,168.17,168.185,168.13,168.152,32635.0
2020-01-29 13:55:00,168.2,168.2,168.15,168.17,27567.0
2020-01-29 13:54:00,168.2564,168.26,168.17,168.21,49345.0
2020-01-29 13:53:00,168.3101,168.33,168.24,168.2504,61352.0
2020-01-29 13:52:00,168.37,168.3799,168.3,168.315,50694.0
2020-01-29 13:51:00,168.36,168.38,168.31,168.36,46521.0
2020-01-29 13:50:00,168.24,168.3675,168.24,168.35,49769.0
2020-01-29 13:49:00,168.26,168.26,168.2,168.24,38088.0
2020-01-29 13:48:00,168.31,168.32,168.21,168.2706,52060.0
2020-01-29 13:47:00,168.28,168.32,168.28,168.3117,36480.0
2020-01-29 13:46:00,168.28,168.2976,168.25,168.28,32743.0
2020-01-29 13:45:00,168.2947,168.3,168.26,168.28,43483.0
2020-01-29 13:44:00,168.2673,168.3,168.24,168.3,23545.0
2020-01-29 13:43:00,168.2475,168.285,168.21,168.265,48005.0
2020-01-29 13:42:00,168.185,168.24,168.16,168.24,48602.0
2020-01-29 13:41:00,168.18,168.2,168.16,168.19,31491.0
2020-01-29 13:40:00,168.205,168.22,168.14,168.18,41299.0
2020-01-29 13:39:00,168.1131,168.21,168.1128,168.1999,67416.0
2020-01-29 13:38:00,168.067,168.105,168.0605,168.101,18174.0
2020-01-29 13:37:00,168.0989,168.1,168.06,168.06,26355.0
2020-01-29 13:36:00,168.09,168.11,168.07,168.09,39553.0
2020-01-29 13:35:00,168.085,168.13,168.0831,168.095,26650.0
2020-01-29 13:34:00,168.09,168.13,168.065,168.08,46368.0
2020-01-29 13:33:00,168.055,168.1,168.04,168.0953,27050.0
2020-01-29 13:32:00,168.07,168.08,168.0427,168.06,41403.0
2020-01-29 13:31:00,168.09,168.13,168.05,168.0765,98052.0
2020-01-29 13:30:00,167.985,168.1,167.98,168.09,78918.0
2020-01-29 13:29:00,167.9575,168.0,167.9575,167.9815,31250.0
2020-01-29 13:28:00,167.93,167.97,167.895,167.9546,25586.0
2020-01-29 13:27:00,167.89,167.95,167.8899,167.93,26206.0
2020-01-29 13:26:00,167.865,167.9281,167.865,167.89,20726.0
2020-01-29 13:25:00,167.845,167.8838,167.84,167.865,22525.0
2020-01-29 13:24:00,167.8519,167.87,167.82,167.85,18535.0
2020-01-29 13:23:00,167.86,167.89,167.85,167.8546,14023.0
2020-01-29 13:22:00,167.81,167.8677,167.81,167.8644,21537.0
2020-01-29 13:21:00,167.81,167.82,167.78,167.81,14097.0
2020-01-29 13:20:00,167.82,167.84,167.805,167.81,19193.0
2020-01-29 13:19:00,167.83,167.85,167.8,167.83,33253.0
2020-01-29 13:18:00,167.7601,167.84,167.7601,167.84,34848.0
2020-01-29 13:17:00,167.705,167.77,167.7,167.765,40281.0
2020-01-29 13:16:00,167.725,167.738,167.695,167.7,24661.0
2020-01-29 13:15:00,167.6956,167.75,167.69,167.725,24449.0
2020-01-29 13:14:00,167.68,167.708,167.65,167.695,46804.0
2020-01-29 13:13:00,167.57,167.6898,167.53,167.67,29798.0
2020-01-29 13:12:00,167.4945,167.57,167.46,167.57,47498.0
2020-01-29 13:11:00,167.6206,167.65,167.48,167.5,52717.0
2020-01-29 13:10:00,167.5598,167.63,167.54,167.622,49485.0
2020-01-29 13:09:00,167.71,167.73,167.57,167.57,45524.0
2020-01-29 13:08:00,167.715,167.74,167.6799,167.71,27428.0
2020-01-29 13:07:00,167.835,167.845,167.7,167.7,57032.0
2020-01-29 13:06:00,167.875,167.88,167.79,167.835,33427.0
2020-01-29 13:05:00,167.86,167.875,167.8401,167.875,29120.0
2020-01-29 13:04:00,167.85,167.865,167.83,167.85,26012.0
2020-01-29 13:03:00,167.835,167.86,167.8,167.85,35241.0
2020-01-29 13:02:00,167.8207,167.8685,167.81,167.84,22654.0
2020-01-29 13:01:00,167.885,167.885,167.73,167.82,82443.0
2020-01-29 13:00:00,167.9485,168.0,167.88,167.88,56564.0
2020-01-29 12:59:00,167.91,167.95,167.89,167.9462,38787.0
2020-01-29 12:58:00,168.0405,168.058,167.92,167.92,47365.0
2020-01-29 12:57:00,168.08,168.1,168.04,168.0535,57919.0
2020-01-29 12:56:00,168.0001,168.09,167.94,168.0601,86145.0
2020-01-29 12:55:00,167.9752,168.01,167.95,168.0,133668.0
2020-01-29 12:54:00,167.95,168.0,167.9458,167.98,26046.0
2020-01-29 12:53:00,167.95,167.968,167.9201,167.95,35336.0
2020-01-29 12:52:00,167.95,167.99,167.94,167.9438,61483.0
2020-01-29 12:51:00,167.8993,167.96,167.88,167.945,43492.0
2020-01-29 12:50:00,167.89,167.92,167.88,167.89,45945.0
2020-01-29 12:49:00,167.8418,167.895,167.8347,167.89,31387.0
2020-01-29 12:48:00,167.83,167.85,167.8,167.85,21988.0
2020-01-29 12:47:00,167.82,167.83,167.8,167.827,37286.0
2020-01-29 12:46:00,167.8876,167.89,167.8,167.82,51169.0
2020-01-29 12:45:00,167.79,167.9,167.77,167.8823,68097.0
2020-01-29 12:44:00,167.72,167.795,167.715,167.775,24007.0
2020-01-29 12:43:00,167.7668,167.77,167.7115,167.729,37451.0
2020-01-29 12:42:00,167.73,167.77,167.69,167.76,34316.0
2020-01-29 12:41:00,167.72,167.745,167.67,167.72,28872.0
2020-01-29 12:40:00,167.749,167.79,167.705,167.72,33000.0
2020-01-29 12:39:00,167.655,167.75,167.645,167.75,60100.0
2020-01-29 12:38:00,167.67,167.68,167.63,167.6478,29929.0
2020-01-29 12:37:00,167.685,167.695,167.65,167.69,29379.0
2020-01-29 12:36:00,167.64,167.715,167.64,167.687,46825.0
2020-01-29 12:35:00,167.59,167.65,167.58,167.63,84219.0
2020-01-29 12:34:00,167.54,167.6,167.53,167.58,35356.0
2020-01-29 12:33:00,167.615,167.6156,167.5201,167.54,38829.0
2020-01-29 12:32:00,167.605,167.6355,167.59,167.615,43884.0
2020-01-29 12:31:00,167.695,167.695,167.6,167.605,29315.0
2020-01-29 12:30:00,167.62,167.7,167.6,167.69,30860.0
2020-01-29 12:29:00,167.5967,167.62,167.57,167.62,37725.0
2020-01-29 12:28:00,167.59,167.61,167.57,167.595,52972.0
2020-01-29 12:27:00,167.465,167.59,167.46,167.59,75808.0
2020-01-29 12:26:00,167.425,167.46,167.38,167.46,45742.0
2020-01-29 12:25:00,167.465,167.47,167.4,167.425,60056.0
2020-01-29 12:24:00,167.485,167.49,167.46,167.46,30618.0
2020-01-29 12:23:00,167.48,167.5,167.46,167.4872,32247.0
2020-01-29 12:22:00,167.47,167.48,167.4298,167.475,42701.0
2020-01-29 12:21:00,167.64,167.6401,167.45,167.47,79224.0
2020-01-29 12:20:00,167.64,167.66,167.63,167.64,40464.0
2020-01-29 12:19:00,167.6375,167.66,167.595,167.6386,35042.0
2020-01-29 12:18:00,167.49,167.64,167.49,167.64,56820.0
2020-01-29 12:17:00,167.4544,167.5,167.445,167.5,48187.0
2020-01-29 12:16:00,167.481,167.5,167.46,167.46,48919.0
2020-01-29 12:15:00,167.44,167.5,167.44,167.4847,54637.0
2020-01-29 12:14:00,167.345,167.429,167.345,167.429,27316.0
2020-01-29 12:13:00,167.395,167.395,167.33,167.345,23799.0
2020-01-29 12:12:00,167.395,167.405,167.34,167.4,31879.0
2020-01-29 12:11:00,167.39,167.398,167.32,167.398,41835.0
2020-01-29 12:10:00,167.39,167.41,167.385,167.385,41218.0
2020-01-29 12:09:00,167.3491,167.41,167.34,167.4,58777.0
2020-01-29 12:08:00,167.3495,167.36,167.315,167.35,71036.0
2020-01-29 12:07:00,167.26,167.35,167.25,167.345,44418.0
2020-01-29 12:06:00,167.255,167.26,167.2242,167.26,43033.0
2020-01-29 12:05:00,167.235,167.26,167.22,167.2511,51499.0
2020-01-29 12:04:00,167.27,167.29,167.22,167.235,32374.0
2020-01-29 12:03:00,167.27,167.3084,167.24,167.26,34826.0
2020-01-29 12:02:00,167.25,167.26,167.2347,167.26,34897.0
2020-01-29 12:01:00,167.23,167.25,167.215,167.2483,29160.0
2020-01-29 12:00:00,167.2444,167.3,167.23,167.23,54297.0
2020-01-29 11:59:00,167.21,167.25,167.19,167.2453,32363.0
2020-01-29 11:58:00,167.2,167.21,167.18,167.2,26555.0
2020-01-29 11:57:00,167.17,167.21,167.155,167.2093,35261.0
2020-01-29 11:56:00,167.1478,167.17,167.1168,167.165,58426.0
2020-01-29 11:55:00,167.24,167.2756,167.1447,167.15,56169.0
2020-01-29 11:54:00,167.23,167.285,167.23,167.235,30120.0
2020-01-29 11:53:00,167.205,167.29,167.1934,167.22,170578.0
2020-01-29 11:52:00,167.195,167.21,167.19,167.2,32095.0
2020-01-29 11:51:00,167.2,167.21,167.175,167.195,32141.0
2020-01-29 11:50:00,167.17,167.21,167.15,167.2075,42786.0
2020-01-29 11:49:00,167.18,167.185,167.16,167.175,35717.0
2020-01-29 11:48:00,167.16,167.18,167.1458,167.179,29534.0
2020-01-29 11:47:00,167.125,167.18,167.125,167.1652,33314.0
2020-01-29 11:46:00,167.0799,167.12,167.07,167.115,22915.0
2020-01-29 11:45:00,167.06,167.0915,167.03,167.075,32547.0
2020-01-29 11:44:00,167.0189,167.07,167.0189,167.0566,45763.0
2020-01-29 11:43:00,166.9399,167.03,166.91,167.01,27714.0
2020-01-29 11:42:00,167.0,167.0,166.92,166.93,32723.0
2020-01-29 11:41:00,166.92,167.0,166.92,166.995,32270.0
2020-01-29 11:40:00,166.97,166.9775,166.9,166.92,43157.0
2020-01-29 11:39:00,167.0,167.02,166.93,166.95,34288.0
2020-01-29 11:38:00,167.03,167.07,166.985,167.0,46346.0
2020-01-29 11:37:00,167.08,167.11,167.03,167.0398,44242.0
2020-01-29 11:36:00,166.94,167.09,166.93,167.07,93621.0
2020-01-29 11:35:00,167.065,167.095,166.94,166.97,68124.0
2020-01-29 11:34:00,167.045,167.07,167.03,167.07,26488.0
2020-01-29 11:33:00,167.06,167.07,167.04,167.05,43695.0
2020-01-29 11:32:00,167.055,167.0947,167.05,167.051,27667.0
2020-01-29 11:31:00,167.06,167.1,167.03,167.0573,46358.0
2020-01-29 11:30:00,167.09,167.1,167.05,167.05,36689.0
2020-01-29 11:29:00,167.07,167.1,167.05,167.1,45397.0
2020-01-29 11:28:00,167.055,167.1,167.05,167.06,54328.0
2020-01-29 11:27:00,167.05,167.06,167.02,167.0558,39325.0
2020-01-29 11:26:00,167.0,167.06,166.995,167.06,48811.0
2020-01-29 11:25:00,166.95,167.0,166.93,166.99,48785.0
2020-01-29 11:24:00,166.989,167.01,166.95,166.9501,98197.0
2020-01-29 11:22:00,166.999,167.0,166.89,166.94,33703.0
2020-01-29 11:21:00,167.01,167.01,166.905,166.99,53761.0
2020-01-29 11:20:00,166.92,167.035,166.9167,167.01,45577.0
2020-01-29 11:19:00,166.9421,166.985,166.89,166.92,44959.0
2020-01-29 11:18:00,167.03,167.045,166.93,166.95,89284.0
2020-01-29 11:17:00,167.085,167.11,167.02,167.03,27487.0
2020-01-29 11:16:00,167.0784,167.12,167.06,167.08,63630.0
2020-01-29 11:15:00,167.055,167.17,167.051,167.08,33229.0
2020-01-29 11:14:00,167.015,167.0762,167.01,167.0559,36838.0
2020-01-29 11:13:00,167.07,167.0751,167.01,167.0111,64562.0
2020-01-29 11:12:00,167.13,167.155,167.065,167.07,49082.0
2020-01-29 11:11:00,167.19,167.195,167.129,167.13,51854.0
2020-01-29 11:10:00,167.13,167.205,167.1146,167.19,56699.0
2020-01-29 11:09:00,167.16,167.185,167.1268,167.13,38764.0
2020-01-29 11:08:00,167.2104,167.24,167.12,167.1566,43583.0
2020-01-29 11:07:00,167.25,167.27,167.17,167.21,38675.0
2020-01-29 11:06:00,167.195,167.25,167.195,167.245,37780.0
2020-01-29 11:05:00,167.21,167.24,167.16,167.195,71284.0
2020-01-29 11:04:00,167.18,167.22,167.17,167.205,62346.0
2020-01-29 11:03:00,167.16,167.2,167.13,167.185,57059.0
2020-01-29 11:02:00,167.07,167.17,167.07,167.165,53951.0
2020-01-29 11:01:00,167.075,167.17,167.075,167.08,83090.0
2020-01-29 11:00:00,167.06,167.11,167.06,167.08,80988.0
2020-01-29 10:59:00,167.06,167.07,167.03,167.0401,60246.0
2020-01-29 10:58:00,167.07,167.0751,167.02,167.05,41551.0
2020-01-29 10:57:00,167.05,167.08,167.02,167.0702,38563.0
2020-01-29 10:56:00,167.04,167.04,167.04,167.04,48819.0
2020-01-29 10:55:00,167.06,167.07,167.0101,167.03,34157.0
2020-01-29 10:54:00,167.03,167.05,167.0,167.05,38863.0
2020-01-29 10:53:00,167.07,167.09,167.0,167.03,52015.0
2020-01-29 10:52:00,167.04,167.11,167.01,167.0753,47209.0
2020-01-29 10:51:00,167.005,167.1,166.995,167.02,59361.0
2020-01-29 10:50:00,166.9775,167.09,166.9701,167.01,53798.0
2020-01-29 10:49:00,167.005,167.0358,166.965,166.97,87349.0
2020-01-29 10:48:00,167.03,167.0836,167.0,167.005,44552.0
2020-01-29 10:47:00,167.03,167.15,167.02,167.0343,81746.0
2020-01-29 10:46:00,166.94,167.05,166.93,167.04,56668.0
2020-01-29 10:45:00,166.9,166.99,166.877,166.94,51606.0
2020-01-29 10:44:00,166.96,166.98,166.8795,166.89,65195.0
2020-01-29 10:43:00,167.03,167.04,166.94,166.94,64979.0
2020-01-29 10:42:00,166.88,167.03,166.88,167.02,105179.0
2020-01-29 10:41:00,166.72,166.9,166.72,166.88,58300.0
2020-01-29 10:40:00,166.68,166.82,166.68,166.73,50419.0
2020-01-29 10:39:00,166.61,166.68,166.59,166.68,68511.0
2020-01-29 10:38:00,166.63,166.67,166.59,166.61,53528.0
2020-01-29 10:37:00,166.605,166.7,166.605,166.64,48636.0
2020-01-29 10:36:00,166.75,166.8,166.58,166.6105,89942.0
2020-01-29 10:35:00,166.6775,166.82,166.65,166.74,78857.0
2020-01-29 10:34:00,166.7292,166.8,166.65,166.665,70146.0
2020-01-29 10:33:00,166.5,166.73,166.47,166.71,94243.0
2020-01-29 10:32:00,166.55,166.57,166.44,166.48,64119.0
2020-01-29 10:31:00,166.47,166.56,166.47,166.5445,52947.0
2020-01-29 10:30:00,166.51,166.53,166.43,166.48,60690.0
2020-01-29 10:29:00,166.54,166.6299,166.45,166.52,74403.0
2020-01-29 10:28:00,166.436,166.57,166.436,166.53,73911.0
2020-01-29 10:27:00,166.4302,166.45,166.36,166.42,58218.0
2020-01-29 10:26:00,166.56,166.58,166.4,166.43,56305.0
2020-01-29 10:25:00,166.46,166.577,166.44,166.56,80487.0
2020-01-29 10:24:00,166.4,166.49,166.3,166.46,68895.0
2020-01-29 10:23:00,166.46,166.4729,166.38,166.4,92123.0
2020-01-29 10:22:00,166.35,166.47,166.35,166.455,86995.0
2020-01-29 10:21:00,166.22,166.39,166.21,166.34,63460.0
2020-01-29 10:20:00,166.2321,166.27,166.18,166.23,62379.0
2020-01-29 10:19:00,166.14,166.29,166.11,166.2301,78105.0
2020-01-29 10:18:00,166.14,166.18,166.0398,166.14,50653.0
2020-01-29 10:17:00,166.168,166.19,166.0578,166.15,68049.0
2020-01-29 10:16:00,166.1,166.22,166.06,166.17,68924.0
2020-01-29 10:15:00,166.2,166.29,166.1,166.106,81538.0
2020-01-29 10:14:00,166.09,166.19,166.03,166.19,60852.0
2020-01-29 10:13:00,165.91,166.09,165.84,166.09,50130.0
2020-01-29 10:12:00,165.94,165.9499,165.78,165.92,54623.0
2020-01-29 10:11:00,166.0,166.0827,165.91,165.93,78590.0
2020-01-29 10:10:00,166.07,166.135,165.973,165.995,61783.0
2020-01-29 10:09:00,166.11,166.16,165.96,166.08,98317.0
2020-01-29 10:08:00,165.9799,166.14,165.9799,166.1234,77864.0
2020-01-29 10:07:00,166.125,166.125,165.85,165.98,77007.0
2020-01-29 10:06:00,165.79,166.12,165.79,166.12,75097.0
2020-01-29 10:05:00,166.01,166.015,165.69,165.7952,124154.0
2020-01-29 10:04:00,165.93,166.0699,165.9292,166.01,134862.0
2020-01-29 10:03:00,166.07,166.08,165.85,165.96,165395.0
2020-01-29 10:02:00,166.23,166.23,166.06,166.07,70429.0
2020-01-29 10:01:00,166.36,166.36,166.19,166.23,65736.0
2020-01-29 10:00:00,166.34,166.45,166.28,166.37,68029.0
2020-01-29 09:59:00,166.29,166.37,166.155,166.33,96461.0
2020-01-29 09:58:00,166.16,166.18,166.16,166.16,103449.0
2020-01-29 09:57:00,166.1599,166.1599,166.15,166.15,102262.0
2020-01-29 09:56:00,166.4463,166.4463,166.23,166.23,206573.0
2020-01-29 09:55:00,166.6201,166.6201,166.45,166.45,14227.0
